"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","age.mon.lion","age.cat.lion","hum.dist.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","diagnosis.time","toxo.status"
"1",742,"t9001",3,TRUE,FALSE,"sy","00-jan-00",3,"dist",NA,4,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,7,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1990-12-19,NA,"adult","after","0"
"2",743,"t9001",3,TRUE,FALSE,"bsh","00-jan-00",4,"dist",NA,6,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,155,"adult","low","low","positive",1994-05-02,136,"adult","after","1"
"3",756,"t9001",3,TRUE,FALSE,"who","00-jan-00",2,"dist",NA,5,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","bsh","zip","0","1",NA,NA,NA,2006-12-21,NA,NA,1991-07-07,NA,"talek",1992-05-22,NA,NA,52.9,"adult","low","low","negative",1991-11-27,4.7,"cub","after","0"
"4",758,"t9001",3,TRUE,FALSE,"nav","00-jan-00",4,"dist",NA,2,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,9,"f","r","coch","en","1","2",1993-06-08,NA,NA,2016-07-20,"dls","inferred dead",1992-11-07,NA,"talek",1993-11-29,NA,NA,36.8,"adult","low","low","negative",1993-07-21,8.4,"cub","after","0"
"5",761,"t9001",3,TRUE,FALSE,"hob","00-jan-00",1,"flw","lion",5,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,6,"f","r","es","int","1","2",1992-04-07,NA,NA,1999-05-06,"dls","inferred dead",1991-07-20,NA,"talek",1992-10-01,NA,NA,52.5,"adult","low","low","negative",1992-06-14,10.8,"cub","after","0"
"6",762,"t11163.2",3,FALSE,FALSE,"kip","00-jan-00",1,"dist",NA,60,FALSE,NA,"2 male lions emerge running from sc","talek","m",1997-02-04,"07:16:00","07:22:00",1997,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,37.8,"adult","low","low","positive",1994-12-18,12.3,"subadult","after","1"
"7",787,"t12939",3,TRUE,FALSE,"rs","00-jan-00",1,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,6,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-12-15,"dead",NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","negative",1997-06-04,NA,"adult","after","0"
"8",792,"t12939",3,TRUE,FALSE,"sim","00-jan-00",3,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,4,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult","after","1"
"9",801,"t12939",3,TRUE,FALSE,"mig","00-jan-00",4,"dist",NA,80,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1994-09-20,NA,"adult","after","1"
"10",803,"t12939",3,TRUE,FALSE,"tz","00-jan-00",5,"dist",NA,75,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult","after","1"
"11",807,"t12939",3,TRUE,FALSE,"bp","00-jan-00",6,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feedign","talek","k",1997-07-26,"07:14:00","08:00:00",1997,7,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult","after","1"
"12",810,"t9001",3,TRUE,FALSE,"ger","00-jan-00",1,"fds",NA,3,FALSE,"scrap","scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,5,"f","r","coch","en","1","1",1993-06-08,NA,NA,2005-06-02,"dead","humans",1992-11-07,NA,"talek",1993-12-01,NA,NA,36.8,"adult","low","low","negative",1993-07-12,8.1,"cub","after","0"
"13",813,"t9001",3,TRUE,FALSE,"tz","00-jan-00",3,"scan",NA,5,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,3,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult","after","1"
"14",815,"t9001",3,TRUE,FALSE,"mike","00-jan-00",5,"scan",NA,10,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-11-19,"dead","lions",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1994-06-10,NA,"adult","after","0"
"15",839,"t9001",3,TRUE,FALSE,"jab","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,7,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,46,"adult","low","low","positive",1992-12-08,10.2,"cub","after","1"
"16",840,"t9001",3,TRUE,FALSE,"bb","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,76.7,"adult","low","low","positive",1993-12-08,52.9,"adult","after","1"
