"","hy.id","id.reps.lion","min.dist.lion","max.dist.lion","avg.min.dist.lion","age.mon.lion","age.cat.lion.first","age.cat.lion.last","mode.age.cat.lion","diagnosis.time.first","diagnosis.time.fin","mode.fd.pres","plate","spratio","diagnosis","hum.pop.den","sample","kay.code","dart.date","sample.origin","notes.appearance","dart.year","dob.date","dob.event.data","disappear.date","disappear.event.status","disappear.event.data","sex","status","mom","dad","number.littermates","litrank","toxo.status","age.mon.dart","dob.yr","age.cat.dart"
"1","bern",1,100,100,100,11.8,"cub","cub","cub","after","after","FALSE","plate5",0.7,"positive","low",6141,"83",1993-07-19,"blood",NA,1993,1992-10-01,"talek",2000-09-04,"dls","lions","f","r","lg","hol","0","1","1",9.6,1992,"cub"
"2","darw",1,40,40,40,7.3,"cub","cub","cub","before","before","TRUE","plate4",0.51,"positive","low",5043,"208",1997-06-11,"blood",NA,1997,1996-07-01,"talek",2002-07-05,"dls",NA,"m","r","jb","fa","0",NA,"1",11.3,1996,"cub"
"3","irq",1,100,100,100,8.5,"cub","cub","cub","after","after","FALSE","plate4",0.1,"negative","low",4373,"128",1994-09-25,"blood","edta",1994,1994-01-10,"talek",NA,NA,NA,"m","r","coch",NA,"1",NA,"0",8.5,1994,"cub"
"4","jab",3,4,30,18,8.83,"cub","cub","cub","before","after","TRUE","plate5",0.82,"positive","low",12138,"96",1992-12-08,"blood","cream; normal",1992,1992-02-02,"talek",1998-04-26,"dls","inferred dead","f","r","bb",NA,"1",NA,"1",10.2,1992,"cub"
"5","jj",1,20,20,20,10.5,"cub","cub","cub","before","before","TRUE","plate4",0.52,"positive","low",5604,"106",1993-08-12,"blood","no id on sample",1993,1992-09-15,"talek",2003-01-29,"dead",NA,"f","r","dj","zip","1","2","1",10.9,1992,"cub"
"6","jone",1,40,40,40,7.8,"cub","cub","cub","before","before","TRUE","plate4",0.54,"positive","low",5541,"169",1996-06-08,"blood",NA,1996,1995-08-01,"talek",1997-05-25,"dls","inferred dead","f","r","jab","fn","1","1","1",10.2,1995,"cub"
"7","krk",1,20,20,20,5.2,"cub","cub","cub","before","before","FALSE","plate5",0.62,"positive","low",4883,"98",1992-12-09,"blood",NA,1992,1992-01-10,"talek",NA,NA,NA,"m","r","kb","mrb","1","1","1",11,1992,"cub"
"8","linc",1,100,100,100,4.5,"cub","cub","cub","before","before","FALSE","plate4",0.09,"negative","low",7584,"211",1997-06-30,"blood",NA,1997,1996-10-23,"talek",NA,NA,NA,"m","r","nav","mike","1","1","0",8.2,1996,"cub"
"9","mh",1,100,100,100,3.2,"cub","cub","cub","before","before","FALSE","plate4",0.62,"positive","low",7778,"140",1995-03-06,"blood",NA,1995,1994-06-22,"talek",1996-03-12,NA,NA,"f","r","bb",NA,"1","1","1",8.4,1994,"cub"
"10","rinc",1,40,40,40,7.8,"cub","cub","cub","before","before","TRUE","plate4",0.03,"negative","low",5662,"170",1996-06-08,"blood","frozen on side",1996,1995-08-01,"talek",1997-05-09,"dls","inferred dead","m","r","jab","fn","1","2","0",10.2,1995,"cub"
"11","scby",1,100,100,100,8,"cub","cub","cub","after","after","FALSE","plate4",0.06,"negative","low",5426,"127",1994-09-23,"blood",NA,1994,1994-01-27,"talek",1994-11-05,"dead","unknown","f","r","sd","rcn","0",NA,"0",7.9,1994,"cub"
"12","wash",1,100,100,100,4.5,"cub","cub","cub","before","before","FALSE","plate4",0.4,"negative","low",7608,"212",1997-06-30,"blood",NA,1997,1996-10-23,"talek",1997-08-27,"dead","humans","m","r","nav","mike","1","2","0",8.2,1996,"cub"
"13","wm",1,100,100,100,2.7,"cub","cub","cub","before","before","FALSE","plate4",0.12,"negative","low",13399,"137",1995-02-09,"blood","cream; normal",1995,1994-07-07,"talek",1995-03-13,"dead","disease","f","r","jab",NA,"1","1","0",7.1,1994,"cub"
"14","wr",1,100,100,100,3.2,"cub","cub","cub","before","before","FALSE","plate4",0.1,"negative","low",3982,"139",1995-02-12,"blood","p frozen at top but not much",1995,1994-06-22,"talek",2007-02-25,"dls","inferred dead","f","r","bb","rcn","1","2","0",7.7,1994,"cub"
"15","zulu",1,10,10,10,10.2,"cub","cub","cub","after","after","FALSE","plate4",0.81,"positive","low",12163,"138",1995-02-10,"blood","cream; normal",1995,1994-05-01,"talek",1997-08-31,"dead","lions","m","r","pt",NA,"1","2","1",9.4,1994,"cub"
