,hy.id,id.reps.lion,min.dist.lion,male.lion.pres,max.dist.lion,avg.min.dist.lion,age.mon.lion,age.cat.lion.first,age.cat.lion.last,mode.age.cat.lion,diagnosis.time.first,diagnosis.time.fin,mode.fd.pres,plate,spratio,diagnosis,hum.pop.den,sample,kay.code,dart.date,sample.origin,notes.appearance,dart.year,dob.date,dob.event.data,disappear.date,disappear.event.status,disappear.event.data,sex,status,mom,dad,number.littermates,litrank,toxo.status,age.mon.dart,dob.yr,age.cat.dart,hum.dist.dob,rank.dart,stan.rank.dart
1,bern,1,100,FALSE,100,100,11.8,cub,cub,cub,after,after,FALSE,plate5,0.7,positive,low,6141,83,7/19/93,blood,NA,1993,10/1/92,talek,9/4/00,dls,lions,f,r,lg,hol,0,1,1,9.6,1992,cub,low,20,-0.9
2,darw,1,40,FALSE,40,40,7.3,cub,cub,cub,before,before,TRUE,plate4,0.51,positive,low,5043,208,6/11/97,blood,NA,1997,7/1/96,talek,7/5/02,dls,NA,m,r,jb,fa,0,NA,1,11.3,1996,cub,low,3,0.857142857
3,irq,1,100,TRUE,100,100,8.5,cub,cub,cub,after,after,FALSE,plate4,0.1,negative,low,4373,128,9/25/94,blood,edta,1994,1/10/94,talek,NA,NA,NA,m,r,coch,NA,1,NA,0,8.5,1994,cub,low,7,0.47826087
4,jab,3,4,FALSE,30,18,8.83,cub,cub,cub,before,after,TRUE,plate5,0.82,positive,low,12138,96,12/8/92,blood,cream; normal,1992,2/2/92,talek,4/26/98,dls,inferred dead,f,r,bb,NA,1,NA,1,10.2,1992,cub,low,2,0.888888889
5,jj,1,20,FALSE,20,20,10.5,cub,cub,cub,before,before,TRUE,plate4,0.52,positive,low,5604,106,8/12/93,blood,no id on sample,1993,9/15/92,talek,1/29/03,dead,NA,f,r,dj,zip,1,2,1,10.9,1992,cub,low,4,0.7
6,jone,1,40,TRUE,40,40,7.8,cub,cub,cub,before,before,TRUE,plate4,0.54,positive,low,5541,169,6/8/96,blood,NA,1996,8/1/95,talek,5/25/97,dls,inferred dead,f,r,jab,fn,1,1,1,10.2,1995,cub,low,6,0.655172414
7,krk,1,20,FALSE,20,20,5.2,cub,cub,cub,before,before,FALSE,plate5,0.62,positive,low,4883,98,12/9/92,blood,NA,1992,1/10/92,talek,NA,NA,NA,m,r,kb,mrb,1,1,1,11,1992,cub,low,3,0.777777778
8,linc,1,100,FALSE,100,100,4.5,cub,cub,cub,before,before,FALSE,plate4,0.09,negative,low,7584,211,6/30/97,blood,NA,1997,10/23/96,talek,NA,NA,NA,m,r,nav,mike,1,1,0,8.2,1996,cub,low,15,0
9,mh,1,100,TRUE,100,100,3.2,cub,cub,cub,before,before,FALSE,plate4,0.62,positive,low,7778,140,3/6/95,blood,NA,1995,6/22/94,talek,3/12/96,NA,NA,f,r,bb,NA,1,1,1,8.4,1994,cub,low,6,0.655172414
10,rinc,1,40,TRUE,40,40,7.8,cub,cub,cub,before,before,TRUE,plate4,0.03,negative,low,5662,170,6/8/96,blood,frozen on side,1996,8/1/95,talek,5/9/97,dls,inferred dead,m,r,jab,fn,1,2,0,10.2,1995,cub,low,6,0.655172414
11,scby,1,100,TRUE,100,100,8,cub,cub,cub,after,after,FALSE,plate4,0.06,negative,low,5426,127,9/23/94,blood,NA,1994,1/27/94,talek,11/5/94,dead,unknown,f,r,sd,rcn,0,NA,0,7.9,1994,cub,low,14,-0.130434783
12,wash,1,100,FALSE,100,100,4.5,cub,cub,cub,before,before,FALSE,plate4,0.4,negative,low,7608,212,6/30/97,blood,NA,1997,10/23/96,talek,8/27/97,dead,humans,m,r,nav,mike,1,2,0,8.2,1996,cub,low,15,0
13,wm,1,100,TRUE,100,100,2.7,cub,cub,cub,before,before,FALSE,plate4,0.12,negative,low,13399,137,2/9/95,blood,cream; normal,1995,7/7/94,talek,3/13/95,dead,disease,f,r,jab,NA,1,1,0,7.1,1994,cub,low,5,0.724137931
14,wr,1,100,TRUE,100,100,3.2,cub,cub,cub,before,before,FALSE,plate4,0.1,negative,low,3982,139,2/12/95,blood,p frozen at top but not much,1995,6/22/94,talek,2/25/07,dls,inferred dead,f,r,bb,rcn,1,2,0,7.7,1994,cub,low,6,0.655172414
15,zulu,1,10,TRUE,10,10,10.2,cub,cub,cub,after,after,FALSE,plate4,0.81,positive,low,12163,138,2/10/95,blood,cream; normal,1995,5/1/94,talek,8/31/97,dead,lions,m,r,pt,NA,1,2,1,9.4,1994,cub,low,14,0.103448276
