"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","age.mon.lion","age.cat.lion","hum.dist.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","diagnosis.time","toxo.status"
"1",742,"t9001",3,TRUE,FALSE,"sy","00-jan-00",3,"dist",NA,4,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,7,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1990-12-19,NA,"adult","after","0"
"2",743,"t9001",3,TRUE,FALSE,"bsh","00-jan-00",4,"dist",NA,6,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,155,"adult","low","low","positive",1994-05-02,136,"adult","after","1"
"3",762,"t11163.2",3,FALSE,FALSE,"kip","00-jan-00",1,"dist",NA,60,FALSE,NA,"2 male lions emerge running from sc","talek","m",1997-02-04,"07:16:00","07:22:00",1997,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,37.8,"adult","low","low","positive",1994-12-18,12.3,"subadult","after","1"
"4",787,"t12939",3,TRUE,FALSE,"rs","00-jan-00",1,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,6,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-12-15,"dead",NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","negative",1997-06-04,NA,"adult","after","0"
"5",792,"t12939",3,TRUE,FALSE,"sim","00-jan-00",3,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,4,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult","after","1"
"6",801,"t12939",3,TRUE,FALSE,"mig","00-jan-00",4,"dist",NA,80,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1994-09-20,NA,"adult","after","1"
"7",803,"t12939",3,TRUE,FALSE,"tz","00-jan-00",5,"dist",NA,75,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult","after","1"
"8",807,"t12939",3,TRUE,FALSE,"bp","00-jan-00",6,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feedign","talek","k",1997-07-26,"07:14:00","08:00:00",1997,7,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult","after","1"
"9",813,"t9001",3,TRUE,FALSE,"tz","00-jan-00",3,"scan",NA,5,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,3,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult","after","1"
"10",815,"t9001",3,TRUE,FALSE,"mike","00-jan-00",5,"scan",NA,10,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-11-19,"dead","lions",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1994-06-10,NA,"adult","after","0"
"11",840,"t9001",3,TRUE,FALSE,"bb","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,76.7,"adult","low","low","positive",1993-12-08,52.9,"adult","after","1"
"12",845,"t12939",3,TRUE,FALSE,"mike","00-jan-00",1,"fd on head and neck",NA,60,FALSE,"gnu head and neck",NA,"talek","k",1997-07-26,"07:14:00","08:00:00",1997,6,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-11-19,"dead","lions",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1994-06-10,NA,"adult","after","0"
"13",850,"t12939",3,TRUE,FALSE,"pos","00-jan-00",6,"dist",NA,60,FALSE,NA,NA,"talek","k",1997-07-26,"07:14:00","08:00:00",1997,4,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-03-25,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,"adult","low","low","doubtful",1996-07-08,NA,"adult","after","0"
"14",867,"t15304.2",3,FALSE,FALSE,"ua","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","79",NA,"0","1",NA,NA,NA,2001-05-05,"dls","lions",1987-03-01,NA,"talek",1988-08-19,NA,NA,138.3,"adult","low","low","positive",1994-06-26,87.8,"adult","after","1"
"15",868,"t15304.2",3,FALSE,FALSE,"bsh","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,188.2,"adult","low","low","positive",1994-05-02,136,"adult","after","1"
"16",940,"t9140",3,TRUE,FALSE,"rm","00-jan-00",1,"runs fast",NA,40,FALSE,NA,"response to male lion running in","talek","d",1996-03-26,"08:17:00","08:37:00",1996,2,"f","r","ua",NA,"1","1",1994-03-23,NA,NA,1996-09-12,"dls","inferred dead",1993-07-07,NA,"talek",1994-07-27,NA,NA,32.6,"adult","low","low","positive",1994-08-27,13.7,"subadult","after","1"
