ID,Session,note_quality,food_present,no_intx_yes_no,Hyena,Time,Order,Behavior,Target,Distance,Leader Y/N?,Food,Notes
719,t9001,3,TRUE,FALSE,bail,00-Jan-00,1,dist,,10,FALSE,,
720,t9001,3,TRUE,FALSE,jab,00-Jan-00,2,whoop,,,FALSE,,
721,t9001,3,TRUE,FALSE,unid1,00-Jan-00,1,flw,lion,20,FALSE,,
722,t9001,3,TRUE,FALSE,unid2,00-Jan-00,1,flw,lion,20,FALSE,,
723,t9001,3,TRUE,FALSE,unid3,00-Jan-00,1,flw,lion,20,FALSE,,
724,t9001,3,TRUE,FALSE,unid4,00-Jan-00,1,flw,lion,20,FALSE,,
725,t9001,3,TRUE,FALSE,unid5,00-Jan-00,1,flw,lion,20,FALSE,,
726,t9001,3,TRUE,FALSE,unid6,00-Jan-00,1,flw,lion,20,FALSE,,
727,t9001,3,TRUE,FALSE,unid7,00-Jan-00,1,flw,lion,20,FALSE,,
728,t9001,3,TRUE,FALSE,unid8,00-Jan-00,1,flw,lion,20,FALSE,,
729,t9001,3,TRUE,FALSE,unid9,00-Jan-00,1,flw,lion,20,FALSE,,
730,t9001,3,TRUE,FALSE,unid10,00-Jan-00,1,flw,lion,20,FALSE,,
731,t9001,3,TRUE,FALSE,unid11,00-Jan-00,1,flw,lion,20,FALSE,,
732,t9001,3,TRUE,FALSE,unid12,00-Jan-00,1,flw,lion,20,FALSE,,
733,t9001,3,TRUE,FALSE,wald,00-Jan-00,2,dist,,30,FALSE,,behind group of 12
734,t9001,3,TRUE,FALSE,bsh,00-Jan-00,3,dist,,40,FALSE,,
735,t9001,3,TRUE,FALSE,bail,00-Jan-00,1,fds,,30,FALSE,scrap,
736,t9001,3,TRUE,FALSE,who,00-Jan-00,2,steals scrap fds,,30,FALSE,scrap,
737,t9001,3,TRUE,FALSE,unid1,00-Jan-00,1,mob,,5,FALSE,,
738,t9001,3,TRUE,FALSE,unid2,00-Jan-00,1,mob,,5,FALSE,,
739,t9001,3,TRUE,FALSE,unid3,00-Jan-00,1,mob,,5,FALSE,,
740,t9001,3,TRUE,FALSE,unid4,00-Jan-00,1,mob,,5,FALSE,,
741,t9001,3,TRUE,FALSE,bail,00-Jan-00,2,dist,,3,FALSE,,
742,t9001,3,TRUE,FALSE,sy,00-Jan-00,3,dist,,4,FALSE,,
743,t9001,3,TRUE,FALSE,bsh,00-Jan-00,4,dist,,6,FALSE,,
744,t9001,3,TRUE,FALSE,hob,00-Jan-00,5,dist,,6,FALSE,,
745,t9001,3,TRUE,FALSE,unid1,00-Jan-00,1,dist,,15,FALSE,,
746,t9001,3,TRUE,FALSE,unid2,00-Jan-00,1,dist,,15,FALSE,,
747,t9001,3,TRUE,FALSE,unid3,00-Jan-00,1,dist,,15,FALSE,,
748,t9001,3,TRUE,FALSE,unid4,00-Jan-00,1,dist,,15,FALSE,,
749,t9001,3,TRUE,FALSE,unid5,00-Jan-00,1,dist,,15,FALSE,,
750,t9001,3,TRUE,FALSE,unid6,00-Jan-00,1,dist,,15,FALSE,,
751,t9001,3,TRUE,FALSE,unid7,00-Jan-00,1,dist,,15,FALSE,,
752,t9001,3,TRUE,FALSE,unid8,00-Jan-00,1,dist,,15,FALSE,,
753,t9001,3,TRUE,FALSE,unid9,00-Jan-00,1,dist,,15,FALSE,,
754,t9001,3,TRUE,FALSE,unid10,00-Jan-00,1,dist,,15,FALSE,,
755,t9001,3,TRUE,FALSE,unid11,00-Jan-00,1,dist,,15,FALSE,,
756,t9001,3,TRUE,FALSE,who,00-Jan-00,2,dist,,5,FALSE,,
757,t9001,3,TRUE,FALSE,bb,00-Jan-00,3,dist,,6,FALSE,,
758,t9001,3,TRUE,FALSE,nav,00-Jan-00,4,dist,,2,FALSE,,
759,t9001,3,TRUE,FALSE,sd,00-Jan-00,5,dist,,5,FALSE,,
760,t9001,3,TRUE,FALSE,nav,00-Jan-00,1,flw,lion,5,FALSE,,
761,t9001,3,TRUE,FALSE,hob,00-Jan-00,1,flw,lion,5,FALSE,,
762,t11163.2,3,FALSE,FALSE,kip,00-Jan-00,1,dist,,60,FALSE,,2 male lions emerge running from SC
763,t9001,3,TRUE,FALSE,wald,00-Jan-00,2,dist,,60,FALSE,,
764,t9001,3,TRUE,FALSE,nav,00-Jan-00,1,dist,,5,FALSE,,
765,t11163.2,3,FALSE,FALSE,kip,00-Jan-00,1,bo,,,FALSE,,response to lions emerging
766,t9001,3,TRUE,FALSE,sy,00-Jan-00,1,fds,,,FALSE,zebra carc,
767,t9001,3,TRUE,FALSE,nav,00-Jan-00,2,fds,,,FALSE,zebra carc,
768,t9001,3,TRUE,FALSE,unid1,00-Jan-00,3,fds,,,FALSE,zebra carc,
769,t9001,3,TRUE,FALSE,unid2,00-Jan-00,3,fds,,,FALSE,zebra carc,
770,t9001,3,TRUE,FALSE,unid3,00-Jan-00,3,fds,,,FALSE,zebra carc,
771,t9001,3,TRUE,FALSE,unid4,00-Jan-00,3,fds,,,FALSE,zebra carc,
772,t9001,3,TRUE,FALSE,unid5,00-Jan-00,3,fds,,,FALSE,zebra carc,
773,t9001,3,TRUE,FALSE,sy,00-Jan-00,4,gets scrap,,,FALSE,,
774,t9001,3,TRUE,FALSE,unid1,00-Jan-00,1,tug of war over carcass with lion,lion,,FALSE,,
775,t9001,3,TRUE,FALSE,unid2,00-Jan-00,1,tug of war over carcass with lion,lion,,FALSE,,
776,t9001,3,TRUE,FALSE,unid3,00-Jan-00,1,tug of war over carcass with lion,lion,,FALSE,,
777,t9001,3,TRUE,FALSE,unid4,00-Jan-00,1,tug of war over carcass with lion,lion,,FALSE,,
778,t9001,3,TRUE,FALSE,unid1,00-Jan-00,1,fds,,,FALSE,zebra carc,
779,t9001,3,TRUE,FALSE,unid2,00-Jan-00,1,fds,,,FALSE,zebra carc,
780,t9001,3,TRUE,FALSE,unid3,00-Jan-00,1,fds,,,FALSE,zebra carc,
781,t9001,3,TRUE,FALSE,unid4,00-Jan-00,1,fds,,,FALSE,zebra carc,
782,t9001,3,TRUE,FALSE,unid5,00-Jan-00,1,fds,,,FALSE,zebra carc,
783,t9001,3,TRUE,FALSE,unid6,00-Jan-00,1,fds,,,FALSE,zebra carc,
784,t9001,3,TRUE,FALSE,unid7,00-Jan-00,1,fds,,,FALSE,zebra carc,
785,t9001,3,TRUE,FALSE,unid8,00-Jan-00,1,fds,,,FALSE,zebra carc,
786,t9001,3,TRUE,FALSE,unid9,00-Jan-00,1,fds,,,FALSE,zebra carc,
787,t12939,3,TRUE,FALSE,rs,00-Jan-00,1,dist,,50,FALSE,gnu kill,2 male 1 female lions one male feeding
788,t9001,3,TRUE,FALSE,jab,00-Jan-00,2,runs off with leg,,,FALSE,,
789,t9001,3,TRUE,FALSE,bb,00-Jan-00,1,fds,,,FALSE,scrap,
790,t12939,3,TRUE,FALSE,mike,00-Jan-00,2,dist,,75,FALSE,gnu kill,2 male 1 female lions one male feeding
791,t9001,3,TRUE,FALSE,hob,00-Jan-00,2,fds,,,FALSE,zebra carc,
792,t12939,3,TRUE,FALSE,sim,00-Jan-00,3,dist,,50,FALSE,gnu kill,2 male 1 female lions one male feeding
793,t9001,3,TRUE,FALSE,jb,00-Jan-00,2,fds,,,FALSE,zebra carc,
794,t9001,3,TRUE,FALSE,tz,00-Jan-00,2,fds,,,FALSE,zebra carc,
795,t9001,3,TRUE,FALSE,ger,00-Jan-00,2,fds,,,FALSE,zebra carc,
796,t9001,3,TRUE,FALSE,nav,00-Jan-00,2,fds,,,FALSE,zebra carc,
797,t9001,3,TRUE,FALSE,bsh,00-Jan-00,2,fds,,,FALSE,zebra carc,
798,t9001,3,TRUE,FALSE,sy,00-Jan-00,2,fds,,,FALSE,zebra carc,
799,t9001,3,TRUE,FALSE,sd,00-Jan-00,2,fds,,,FALSE,zebra carc,
800,t9001,3,TRUE,FALSE,mike,00-Jan-00,1,fds,,,FALSE,zebra carc,
801,t12939,3,TRUE,FALSE,mig,00-Jan-00,4,dist,,80,FALSE,gnu kill,2 male 1 female lions one male feeding
