Session,Date,Hyena,MinDist,rank_dist,totWdist
135.2,9/12/88,kb,3,1,5
135.2,9/12/88,coch,3,1,5
135.2,9/12/88,knb,5,2,5
135.2,9/12/88,3,5,2,5
135.2,9/12/88,es,50,3,5
221.3,11/27/88,csl,100,1,1
269,12/20/88,mw,45,1,8
269,12/20/88,1019,45,1,8
269,12/20/88,65,45,1,8
269,12/20/88,67sm,45,1,8
269,12/20/88,csl,45,1,8
269,12/20/88,mrb,45,1,8
269,12/20/88,ot,45,1,8
269,12/20/88,gw,45,1,8
339.1,1/16/89,bsh,8,1,4
339.1,1/16/89,67sm,10,2,4
339.1,1/16/89,csl,15,3,4
339.1,1/16/89,sr,15,3,4
554,5/30/89,coch,1,1,2
554,5/30/89,mw,1,1,2
567,6/3/89,mw,0.5,1,2
567,6/3/89,bsh,1,2,2
879,12/2/89,65,10,1,8
879,12/2/89,hol,10,1,8
879,12/2/89,coch,12,2,8
879,12/2/89,sh,20,3,8
879,12/2/89,dj,20,3,8
879,12/2/89,es,20,3,8
879,12/2/89,jul,20,3,8
879,12/2/89,bsl,20,3,8
889,12/13/89,pb,5,1,5
889,12/13/89,bsh,9,2,5
889,12/13/89,choc,10,3,5
889,12/13/89,rum,10,3,5
889,12/13/89,lcd,15,4,5
1088.2,6/5/90,bo,1,1,3
1088.2,6/5/90,bf,1,1,3
1088.2,6/5/90,sy,45,2,3
1110.3,6/27/90,mu,1,1,2
1110.3,6/27/90,lh,30,2,2
1209,8/31/90,bsh,10,1,6
1209,8/31/90,mrb,10,1,6
1209,8/31/90,hol,10,1,6
1209,8/31/90,dave,10,1,6
1209,8/31/90,coch,10,1,6
1209,8/31/90,ap,10,1,6
1245,9/24/90,sher,60,1,1
1605,7/2/91,rv,2.5,1,7
1605,7/2/91,dj,2.5,1,7
1605,7/2/91,kb,2.5,1,7
1605,7/2/91,bsh,2.5,1,7
1605,7/2/91,sx,5,2,7
1605,7/2/91,en,6,3,7
1605,7/2/91,sy,25,4,7
1627,7/13/91,sx,8,1,11
1627,7/13/91,mu,8,1,11
1627,7/13/91,unID,15,2,11
1627,7/13/91,bm,15,2,11
1627,7/13/91,bb,18,3,11
1627,7/13/91,bud,25,4,11
1627,7/13/91,chy,25,4,11
1627,7/13/91,kb,25,4,11
1627,7/13/91,quai,30,5,11
1627,7/13/91,sy,30,5,11
1627,7/13/91,q,300,6,11
1651.2,7/31/91,sher,50,1,1
1738.6,9/14/91,gan,10,1,8
1738.6,9/14/91,mut,10,1,8
1738.6,9/14/91,ot,10,1,8
1738.6,9/14/91,dj,10,1,8
1738.6,9/14/91,bf,10,1,8
1738.6,9/14/91,9b,15,2,8
1738.6,9/14/91,fa,20,3,8
1738.6,9/14/91,hol,25,4,8
1863.1,11/15/91,quai,150,1,1
1870.02,11/19/91,sd,20,1,2
1870.02,11/19/91,hk,20,1,2
2058,4/8/92,sy,10,1,9
2058,4/8/92,dg,11,2,9
2058,4/8/92,pp,20,3,9
2058,4/8/92,rv,25,4,9
2058,4/8/92,pt,30,5,9
2058,4/8/92,sd,30,5,9
2058,4/8/92,sb,35,6,9
2058,4/8/92,gan,40,7,9
2058,4/8/92,23s,45,8,9
2169,5/31/92,dj,17.5,1,2
2169,5/31/92,quai,20,2,2
3001,6/14/92,gw,3,1,6
3001,6/14/92,ua,5,2,6
3001,6/14/92,sy,10,3,6
3001,6/14/92,quai,20,4,6
3001,6/14/92,en,25,5,6
3001,6/14/92,ot,30,6,6
3005,6/16/92,bm,20,1,15
3005,6/16/92,23s,20,1,15
3005,6/16/92,bb,20,1,15
3005,6/16/92,ot,20,1,15
3005,6/16/92,jab,20,1,15
3005,6/16/92,krk,20,1,15
3005,6/16/92,kbx,20,1,15
3005,6/16/92,kb,20,1,15
3005,6/16/92,bail,20,1,15
3005,6/16/92,sx,20,1,15
3005,6/16/92,pt,20,1,15
3005,6/16/92,bsh,20,1,15
3005,6/16/92,chy,20,1,15
3005,6/16/92,es,20,1,15
3005,6/16/92,hk,20,1,15
3064,7/24/92,sd,200,1,10
3064,7/24/92,rcn,200,1,10
3064,7/24/92,pt,200,1,10
3064,7/24/92,en,200,1,10
3064,7/24/92,zip,200,1,10
3064,7/24/92,dj,200,1,10
3064,7/24/92,bb,200,1,10
3064,7/24/92,coch,200,1,10
3064,7/24/92,hk,200,1,10
3064,7/24/92,sy,200,1,10
3148,9/19/92,coch,15,1,6
3148,9/19/92,dj,20,2,6
3148,9/19/92,sy,30,3,6
3148,9/19/92,sx,40,4,6
3148,9/19/92,en,70,5,6
3148,9/19/92,bsh,70,5,6
3374.5,12/30/92,fa,12,1,1
3586,1/9/93,lg,10,1,4
3586,1/9/93,ot,30,2,4
3586,1/9/93,dj,30,2,4
3586,1/9/93,fa,100,3,4
3716,1/25/93,sx,20,1,11
5237,4/5/93,coch,20,1,11
5237,4/5/93,qua,20,1,11
5237,4/5/93,sd,20,1,11
5237,4/5/93,ua,20,1,11
5237,4/5/93,sy,30,2,11
5237,4/5/93,bail,40,3,11
5237,4/5/93,chy,40,3,11
5237,4/5/93,pt,40,3,11
5237,4/5/93,rv,40,3,11
5237,4/5/93,sb,40,3,11
5271,4/18/93,rcn,1,1,5
5271,4/18/93,chy,1,1,5
5271,4/18/93,quai,1,1,5
5271,4/18/93,zip,1,1,5
5271,4/18/93,fa,1,1,5
5304,4/29/93,dj,5,1,8
5304,4/29/93,krk,5,1,8
5304,4/29/93,rv,15,2,8
5304,4/29/93,bb,30,3,8
5304,4/29/93,jab,30,3,8
5304,4/29/93,sx,30,3,8
5304,4/29/93,sun,40,4,8
5304,4/29/93,ua,40,4,8
5728,7/29/93,zip,25,1,2
5728,7/29/93,pp,25,1,2
5747,8/1/93,rv,15,1,3
5747,8/1/93,jj,20,2,3
5747,8/1/93,pt,30,3,3
6086,9/21/93,hk,17.5,1,5
6086,9/21/93,krk,17.5,1,5
6086,9/21/93,gil,20,2,5
6086,9/21/93,bsh,30,3,5
6086,9/21/93,kb,30,3,5
6107,9/24/93,3 subadult,5,1,8
6107,9/24/93,fa,10,2,8
6107,9/24/93,sd,10,2,8
6107,9/24/93,gol,100,3,8
6107,9/24/93,tz,100,3,8
6107,9/24/93,ber,100,3,8
6228,11/17/93,jab,40,1,6
6228,11/17/93,kxb,40,1,6
6228,11/17/93,gil,40,1,6
6228,11/17/93,bb,40,1,6
6228,11/17/93,ot,40,1,6
6228,11/17/93,fa,50,1,6
6419,12/31/93,rv,40,1,1
6564,2/17/94,ot,30,1,1
6665,4/2/94,dj,70,1,4
6665,4/2/94,sy,75,2,4
6665,4/2/94,sun,90,3,4
6665,4/2/94,rcn,90,3,4
6699,4/4/94,sd,20,1,2
6699,4/4/94,who,40,2,2
7081,5/29/94,rm,100,1,2
7081,5/29/94,kl,100,1,2
7228,6/17/94,rock,40,1,1
