	id	session	note.quality	food.present	no.intx.yes.no	tbl.lion.hyena.sessions.notes	session.error.notes	hy.id	time	order	behavior	target	distance	leader	food	tbl.lion.hyena.individual.behaviors.notes	clan	location	date	start	stop	plate	spratio	diagnosis	age	hum.pop.den	sample	kay.code	dart.date	sample.origin	notes.appearance	dart.year
1	1128	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	bb	6:07:00	1	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate3	0.8	positive	adult	low	7508	10	12/8/93	blood	NA	1993
2	1129	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	kip	6:07:00	2	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate4	0.89	positive	cub	low	12165	131	12/18/94	blood	cream; normal	1994
3	1130	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	ger	6:07:00	3	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate5	0.16	negative	cub	low	6136	82	7/12/93	blood	frozen on side	1993
4	1132	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	cr	6:07:00	5	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate4	0.83	positive	cub	low	13587	108	5/24/94	blood	cream; normal	1994
5	1133	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	wr	6:07:00	6	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate4	0.1	negative	cub	low	3982	139	2/12/95	blood	p frozen at top but not much	1995
6	1134	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	jab	6:07:00	7	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate5	0.82	positive	cub	low	12138	96	12/8/92	blood	cream; normal	1992
7	1135	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	sy	6:07:00	8	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate3	0.47	doubtful	adult	low	4989	21	12/19/90	blood	frozen on side	1990
8	1136	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	fn	6:07:00	9	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate4	0.59	positive	adult	low	7322	52	7/11/91	blood	NA	1991
9	1137	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	amar	6:07:00	10	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate4	0.6	positive	cub	low	5525	160	10/25/95	blood	NA	1995
10	1138	t10847	3	TRUE	FALSE	"huge scn.hys so bth sides slp crk.obs.in. ci's (bshs, detour to d, etc.)except 612-730.no ci's 736-742(poop).ln fd frsh gnu carc in lug 20-80m-hys when arr.mp,kon,rv bldy.obs thnk hys md kill & ln stole b/c svral hys v bldy.ot ft bldy.cr,jab,sy,fn,dd bldy"	"i would call this male lion an adult because the observers could tell his sex even when he is all but oos in the lugga when arr. rv's abbreviation is wrong in the notes at 0629. says \rav\"", which is the abbreviation for a hyena born in 2007 (ravioli)"""	jj	6:07:00	11	scan	NA	20-80	FALSE	NA	NA	talek	k	10/26/96	6:07:00	9:05:00	plate4	0.52	positive	cub	low	5604	106	8/12/93	blood	no id on sample	1993
