"","id","session","note.quality","food.present","no.intx.yes.no","tbl.lion.hyena.sessions.notes","session.error.notes","hy.id","time","order","behavior","target","distance","leader","food","tbl.lion.hyena.individual.behaviors.notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","rank.clan","rank","stan.rank","age.mon.lion","age.cat.lion","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist","diagnosis.time","toxo.status"
"1",11339,"t10748",1,FALSE,TRUE,"no intx. in. ci's (driving around to id). 2 sub male lions 35m apart when arr, 30m - closest hyena and 200m - farthest hyena. at least 14 hyenas in area of lions when arr. seems lions are so, but doesn't say","bsh present; she should be included in id's present, and n id hyenas should be 14. there is also one unidcollaredhyena at 1806 that should be noted in unidhyenas","jab",18:06:00,2,"dist",NA,30,FALSE,NA,"st/lk","talek","o",1996-09-29,"18:06:00","18:48:00",1996,1,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,"talek",6,0.655172413793103,55.9,"adult","positive",1992-12-08,10.2,"cub","low_tk","after","1"
"2",11340,"t10748",1,FALSE,TRUE,"no intx. in. ci's (driving around to id). 2 sub male lions 35m apart when arr, 30m - closest hyena and 200m - farthest hyena. at least 14 hyenas in area of lions when arr. seems lions are so, but doesn't say","bsh present; she should be included in id's present, and n id hyenas should be 14. there is also one unidcollaredhyena at 1806 that should be noted in unidhyenas","rs",18:06:00,3,"dist",NA,100,FALSE,NA,"wan","talek","o",1996-09-29,"18:06:00","18:48:00",1996,1,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-12-18,"dead",NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"negative",1997-06-04,NA,"adult","low_tk","before","0"
"3",11344,"t10748",1,FALSE,TRUE,"no intx. in. ci's (driving around to id). 2 sub male lions 35m apart when arr, 30m - closest hyena and 200m - farthest hyena. at least 14 hyenas in area of lions when arr. seems lions are so, but doesn't say","bsh present; she should be included in id's present, and n id hyenas should be 14. there is also one unidcollaredhyena at 1806 that should be noted in unidhyenas","bb",18:06:00,7,"dist",NA,5,FALSE,NA,"cut front leg, so","talek","o",1996-09-29,"18:06:00","18:48:00",1996,1,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,"talek",7,0.586206896551724,86.6,"adult","positive",1993-12-08,52.9,"adult","low_tk","after","1"
"4",11346,"t10748",1,FALSE,TRUE,"no intx. in. ci's (driving around to id). 2 sub male lions 35m apart when arr, 30m - closest hyena and 200m - farthest hyena. at least 14 hyenas in area of lions when arr. seems lions are so, but doesn't say","bsh present; she should be included in id's present, and n id hyenas should be 14. there is also one unidcollaredhyena at 1806 that should be noted in unidhyenas","jone",18:23:00,1,"dist",NA,200,FALSE,NA,"so","talek","o",1996-09-29,"18:06:00","18:48:00",1996,1,"f","r","jab","fn","1","1",1996-04-16,NA,NA,1997-05-25,"dls","inferred dead",1995-08-01,NA,"talek",1996-07-15,NA,NA,NA,NA,NA,14,"subadult","positive",1996-06-08,10.2,"cub","low_tk","after","1"
"5",961,"t10807",3,TRUE,FALSE,"lions 100m - zulu (2 other hyenas present when arr but distance taken from zulu, so maybe closer to one of them) when arr. lions chew/lick adult gnu carcass ""(fresh, evicerated, possibly stolen from hyenas)"". zulu bloody. jj arr bloody. stg arr bloody","the observer refers to these lions as ""a pair of male lions,"" and i would be comfortable saying they are adults","zulu",06:05:00,1,"dist",NA,100,FALSE,NA,NA,"talek","k",1996-10-18,"06:05:00","07:08:00",1996,1,"m","r","pt",NA,"1","2",1995-01-28,NA,NA,1997-08-31,"dead","lions",1994-05-01,NA,"talek",1995-08-20,NA,NA,NA,NA,NA,29.6,"adult","positive",1995-02-10,9.4,"cub","low_tk","after","1"
"6",7207,"t1088.2",2,FALSE,FALSE,"fas on bo at 0725-0756. hyena is bloody.",NA,"sy",07:24:00,4,"flw circle","lioness",20,FALSE,NA,NA,"talek","o",1990-06-05,"07:24:00","07:56:00",1990,4,"m","i",NA,NA,NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"doubtful",1990-12-19,NA,"adult","low_tk","before","0"
"7",2968,"t10897",3,TRUE,FALSE,"arr""2 adult male lions & small female lion have fresh subadult gnu head & some meat & intestines.not much else of carc left, no ribs or legs visible--looks like hyenas have already eaten most of carc.""obs assm hys 8 b4.hys 80-150m - lns.end 80-200m - lns.","the female lion here could be a subadult, since she is referred to as a ""small female lion"". i would put age as unknown","bern",05:51:00,1,"scan",NA,150,FALSE,NA,"lions on gnu kill","talek","k",1996-11-12,"05:51:00","06:31:00",1996,2,"f","r","lg","hol","0","1",1993-06-11,NA,NA,2000-09-04,"dls","lions",1992-10-01,NA,"talek",1993-08-24,NA,NA,"talek",30,-1,49.4,"adult","positive",1993-07-19,9.6,"cub","low_tk","after","1"
"8",13218,"t11103.2",3,FALSE,TRUE,"no intx. when arr, hyenas so 40m - lions (so). one hyena (cr) has a puncture wound on her r hind flank by the tail. by end everyone (incl lions) lv wlk (hyenas to the n and se, lions to the w)","lions are present this session. they are the lions currently listed incorrectly in session 11103.1, except that the 2 male lions listed as adults should have their age changed to ""subadult,"" and the male lion listed as a subadult's age should be ""cub""","cr",07:42:00,0,"scan","lion",40,FALSE,NA,NA,"talek","o",1997-01-10,"07:42:00","08:12:00",1997,1,"f","r","ot",NA,"1","1",1994-04-02,NA,NA,2002-03-03,"dls","inferred dead",1993-08-15,NA,"talek",1994-08-01,NA,NA,"talek",18,-0.214285714285714,40.9,"adult","positive",1994-05-24,9.3,"cub","low_tk","after","1"
"9",762,"t11163.2",3,FALSE,FALSE,"brief mating session (just together, no actual mounting) b/w kip and mig. not much intx other than hyena loping away from lions when they emerge 60m from her",NA,"kip",07:21:00,1,"dist",NA,60,FALSE,NA,"2 male lions emerge running from sc","talek","m",1997-02-04,"07:16:00","07:22:00",1997,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,"talek",7,0.571428571428571,37.8,"adult","positive",1994-12-18,12.3,"subadult","low_tk","after","1"
"10",13220,"t11163.4",3,FALSE,TRUE,"no intx except fisi st/lk at ln from ~100m. ln here is the smaller adult male from sess 11163.2. obs flwed the lions after 11163.2. both lions went oos into the talek river, but the smaller male emerged, and therefore is here in the beginning of this sess","the lion here is an adult male (see session 11163.2; observer flws lion(s) to this point)","jab",07:30:00,0,"scan","lion",100,FALSE,NA,NA,"talek","m",1997-02-04,"07:30:00","07:42:00",1997,1,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,"talek",8,0.5,60.1,"adult","positive",1992-12-08,10.2,"cub","low_tk","after","1"
"11",13222,"t11172.1",3,TRUE,TRUE,"no intx. ""2 male lions fd on the remains of an eland (calf or female?), mainly the legs, hooves and a few other bones,"" 150m - the hyenas that wlk - n and ne. 1 female lion wlk in direction of the kill and then oos into sunrise lugga","the male lions are adults, as detailed in the other observer's notes from the same morning (session 11172.8, where there are lions only)","bern",08:38:00,0,"scan","lion",150,FALSE,NA,NA,"talek","k",1997-02-08,"08:38:00","09:18:00",1997,1,"f","r","lg","hol","0","1",1993-06-11,NA,NA,2000-09-04,"dls","lions",1992-10-01,NA,"talek",1993-08-24,NA,NA,"talek",29,-1,52.3,"adult","positive",1993-07-19,9.6,"cub","low_tk","after","1"
"12",13223,"t11172.1",3,TRUE,TRUE,"no intx. ""2 male lions fd on the remains of an eland (calf or female?), mainly the legs, hooves and a few other bones,"" 150m - the hyenas that wlk - n and ne. 1 female lion wlk in direction of the kill and then oos into sunrise lugga","the male lions are adults, as detailed in the other observer's notes from the same morning (session 11172.8, where there are lions only)","sx",08:38:00,0,"scan","lion",150,FALSE,NA,NA,"talek","k",1997-02-08,"08:38:00","09:18:00",1997,1,"f","r","coch",NA,"1","1",1990-04-25,NA,NA,2000-07-07,"dls","inferred dead",1989-10-14,NA,"talek",1991-01-15,NA,NA,"talek",16,-0.0714285714285714,87.8,"adult","positive",1990-12-28,14.5,"subadult","low_tk","after","1"
"13",13224,"t11172.1",3,TRUE,TRUE,"no intx. ""2 male lions fd on the remains of an eland (calf or female?), mainly the legs, hooves and a few other bones,"" 150m - the hyenas that wlk - n and ne. 1 female lion wlk in direction of the kill and then oos into sunrise lugga","the male lions are adults, as detailed in the other observer's notes from the same morning (session 11172.8, where there are lions only)","par",08:38:00,0,"scan","lion",150,FALSE,NA,NA,"talek","k",1997-02-08,"08:38:00","09:18:00",1997,1,"f","r","gw","rcn","0",NA,1994-04-03,NA,NA,2004-02-10,"dls","inferred dead",1993-07-15,NA,"talek",NA,NA,NA,"talek",25,-0.714285714285714,42.8,"adult","positive",1994-06-23,11.3,"cub","low_tk","after","1"
"14",4534,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"jone",06:37:00,1,"scan",NA,15,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,1,"f","r","jab","fn","1","1",1996-04-16,NA,NA,1997-05-25,"dls","inferred dead",1995-08-01,NA,"talek",1996-07-15,NA,NA,NA,NA,NA,18.3,"subadult","positive",1996-06-08,10.2,"cub","low_tk","after","1"
"15",4535,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"lg",06:37:00,1,"scan",NA,6,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,1,"f","r","11",NA,NA,NA,NA,NA,NA,1999-04-16,"dls","inferred dead",1982-06-01,NA,"talek",NA,NA,NA,"talek",26,-0.785714285714286,176.3,"adult","positive",1994-06-28,144.9,"adult","low_tk","after","1"
"16",4538,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"tz",06:37:00,1,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1993-08-11,NA,"adult","low_tk","after","1"
"17",4543,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"bb",06:37:00,1,"scan",NA,10,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,1,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,"talek",9,0.428571428571429,90.9,"adult","positive",1993-12-08,52.9,"adult","low_tk","after","1"
"18",4552,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"ua",06:54:00,1,"scan",NA,3,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,1,"f","r","79",NA,"0","1",NA,NA,NA,2001-05-05,"dls","lions",1987-03-01,NA,"talek",1988-08-19,NA,NA,"talek",19,-0.285714285714286,119.3,"adult","positive",1994-06-26,87.8,"adult","low_tk","after","1"
"19",4553,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"mig",06:54:00,1,"scan",NA,5,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1994-09-20,NA,"adult","low_tk","after","1"
"20",4559,"t11175",2,TRUE,FALSE,"in. ci's.""2 male lions form the focus for this scene. they (one at a time) feed on the remains of a carc.,which we never identify.""arr lions here, 1 fd 1 so.jone,rinc,who,jab,ua bldy.lg v.bldy.bb slightly bldy.tape, no id# gvn.lns abnd k (almst all gone)",NA,"fn",06:54:00,1,"scan",NA,17,FALSE,NA,NA,"talek","k",1997-02-09,"06:35:00","07:20:00",1997,2,"m","i",NA,NA,NA,NA,NA,NA,NA,1999-06-24,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1991-07-11,NA,"adult","low_tk","after","1"
"21",11347,"t11235",1,TRUE,TRUE,"no intx. in ci's.when arr, hys emerge/wan arnd baboon cul-de-sac.lop fat. lns not seen til 0655, when emerge from same place hys have been emerging 50m - mig,who is the only hy still in sight.mig wlk oos,lns wlk sw. assumed kill oos in cldsac, never seen","the male lions should have an age of ""subadult"" as opposed to ""adult""","mig",06:55:00,1,"dist",NA,50,FALSE,NA,"st/lk","talek","k",1997-03-03,"06:26:00","07:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,NA,"positive",1994-09-20,NA,"adult","low_tk","after","1"
