"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dob.date","dob.event.status","dob.event.data","dob.error","dob.notes","dfs","dfs.event.status","dfs.event.data","dfs.error","dfs.notes","dengrad","dengrad.event.status","dengrad.event.data","dengrad.error","dengrad.notes","weaned","weaned.event.status","weaned.event.data","weaned.error","weaned.notes","change.clan","change.clan.event.status","change.clan.event.data","change.clan.error","change.clan.notes","change.clan2","change.clan2.event.status","change.clan2.event.data","change.clan2.error","change.clan2.notes","disappeared.date","disappeared.event.status","disappeared.event.data","disappeared.error","disappeared.notes","age.mon.lion","age.cat.lion","hum.dist.lion","rank","stan.rank.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist.dob","diagnosis.time","toxo.status","dist.age.stndrzd"
"1",742,"t9001",3,TRUE,FALSE,"sy","00-jan-00",3,"dist",NA,4,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,7,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1989-09-17,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1997-02-12,"dls","fate unknown",NA,"",NA,"adult","low",NA,NA,"low","doubtful",1990-12-19,NA,"adult",NA,"after","0",-0.765067903823034
"2",743,"t9001",3,TRUE,FALSE,"bsh","00-jan-00",4,"dist",NA,6,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","kb",NA,NA,NA,1983-01-01,"","talek",NA,"",1983-01-01,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",NA,"",155,"adult","low",1,1,"low","positive",1994-05-02,136,"adult","low","after","1",-0.690842485213107
"3",756,"t9001",3,TRUE,FALSE,"who","00-jan-00",2,"dist",NA,5,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","bsh","zip","0","1",1991-07-07,"","talek",NA,"",1991-07-20,"","",NA,"",NA,"","",NA,"",1992-05-22,"","","1","",2002-05-01,"fission","talek.e",NA,"",NA,NA,NA,NA,NA,2006-12-21,"","",NA,"",52.9,"adult","low",4,0.793103448275862,"low","negative",1991-11-27,4.7,"cub","low","after","0",-0.72795519451807
"4",758,"t9001",3,TRUE,FALSE,"nav","00-jan-00",4,"dist",NA,2,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,9,"f","r","coch","en","1","2",1992-11-07,"","talek",NA,"",1992-11-29,"","",NA,"",1993-06-08,"","","0.5","",1993-11-29,"","",NA,"",2016-05-01,"fission","kcm",NA,"",NA,NA,NA,NA,NA,2016-07-20,"dls","inferred dead",NA,"",36.8,"adult","low",13,0.172413793103448,"low","negative",1993-07-21,8.4,"cub","low","after","0",-0.83929332243296
"5",761,"t9001",3,TRUE,FALSE,"hob","00-jan-00",1,"flw","lion",5,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,6,"f","r","es","int","1","2",1991-07-20,"","talek",NA,"",1991-07-20,"","",NA,"",1992-04-07,"","","1","",1992-10-01,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-05-06,"dls","inferred dead",NA,"",52.5,"adult","low",28,-0.862068965517241,"low","negative",1992-06-14,10.8,"cub","low","after","0",-0.72795519451807
"6",762,"t11163.2",3,FALSE,FALSE,"kip","00-jan-00",1,"dist",NA,60,FALSE,NA,"2 male lions emerge running from sc","talek","m",1997-02-04,"07:16:00","07:22:00",1997,1,"f","r","who","fn","1","1",1993-12-10,"","talek",NA,"",1993-12-15,"","",NA,"",1994-08-23,"","","2","",1994-09-10,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-09-26,"dls","inferred dead",NA,"",37.8,"adult","low",7,0.571428571428571,"low","positive",1994-12-18,12.3,"subadult","low","after","1",1.31324381725491
"7",787,"t12939",3,TRUE,FALSE,"rs","00-jan-00",1,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,6,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1995-12-06,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,1999-12-15,"dead","",NA,"",NA,"adult","low",NA,NA,"low","negative",1997-06-04,NA,"adult",NA,"after","0",0.942116724205279
"8",792,"t12939",3,TRUE,FALSE,"sim","00-jan-00",3,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,4,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1996-06-28,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,"",NA,"adult","low",NA,NA,"low","positive",1996-07-28,NA,"adult",NA,"after","1",0.942116724205279
"9",801,"t12939",3,TRUE,FALSE,"mig","00-jan-00",4,"dist",NA,80,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1994-09-06,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,"",NA,"adult","low",NA,NA,"low","positive",1994-09-20,NA,"adult",NA,"after","1",2.05549800335418
"10",803,"t12939",3,TRUE,FALSE,"tz","00-jan-00",5,"dist",NA,75,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,"","talek",NA,"",1993-07-05,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,"","",NA,"",NA,NA,NA,NA,NA,2000-02-18,"dls","dispersed",NA,"",NA,"adult","low",NA,NA,"low","positive",1993-08-11,NA,"adult",NA,"after","1",1.86993445682936
