"","id","session","note.quality","food.present","no.intx.yes.no","hy.id","time","order","behavior","target","distance","leader.y.n.","food","notes","clan","location","lion.date","start","stop","lion.yr","n.per.sessn","sex","status","mom","dad","number.littermates","litrank","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","rank.clan","rank","stan.rank.lion","age.mon.lion","age.cat.lion","hum.dist.lion","hum.pop.den","diagnosis","dart.date","age.mon.dart","age.cat.dart","hum.dist.dob","diagnosis.time","toxo.status","dist.age.stndrzd"
"1",743,"t9001",3,TRUE,FALSE,"bsh","00-jan-00",4,"dist",NA,6,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","kb",NA,NA,NA,NA,NA,NA,1999-05-29,"dead","kidney failure",1983-01-01,NA,"talek",NA,NA,NA,"talek",1,1,155,"adult","low","low","positive",1994-05-02,136,"adult","low","after","1",-0.705151103319664
"2",762,"t11163.2",3,FALSE,FALSE,"kip","00-jan-00",1,"dist",NA,60,FALSE,NA,"2 male lions emerge running from sc","talek","m",1997-02-04,"07:16:00","07:22:00",1997,1,"f","r","who","fn","1","1",1994-08-23,NA,NA,2000-09-26,"dls","inferred dead",1993-12-10,NA,"talek",1994-09-10,NA,NA,"talek",7,0.571428571428571,37.8,"adult","low","low","positive",1994-12-18,12.3,"subadult","low","after","1",1.2657987854665
"3",792,"t12939",3,TRUE,FALSE,"sim","00-jan-00",3,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,4,"m","i",NA,NA,NA,NA,NA,NA,NA,2000-03-17,"dls","humans (us)",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1996-07-28,NA,"adult",NA,"after","1",0.900808065320911
"4",801,"t12939",3,TRUE,FALSE,"mig","00-jan-00",4,"dist",NA,80,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,2010-02-02,"dls","fate unknown",NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1994-09-20,NA,"adult",NA,"after","1",1.99578022575767
"5",803,"t12939",3,TRUE,FALSE,"tz","00-jan-00",5,"dist",NA,75,FALSE,"gnu kill","2 male 1 female lions one male feeding","talek","k",1997-07-26,"07:14:00","08:00:00",1997,1,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult",NA,"after","1",1.81328486568487
"6",807,"t12939",3,TRUE,FALSE,"bp","00-jan-00",6,"dist",NA,50,FALSE,"gnu kill","2 male 1 female lions one male feedign","talek","k",1997-07-26,"07:14:00","08:00:00",1997,7,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1997-07-15,NA,"adult",NA,"after","1",0.900808065320911
"7",813,"t9001",3,TRUE,FALSE,"tz","00-jan-00",3,"scan",NA,5,FALSE,NA,"scan","talek","c",1995-12-03,"07:00:00","08:27:00",1995,3,"m","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"talek",NA,NA,NA,NA,NA,NA,NA,"adult","low","low","positive",1993-08-11,NA,"adult",NA,"after","1",-0.741650175334222
"8",839,"t9001",3,TRUE,FALSE,"jab","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,7,"f","r","bb",NA,"1",NA,1992-10-21,NA,NA,1998-04-26,"dls","inferred dead",1992-02-02,NA,"talek",1992-09-16,NA,NA,"talek",5,0.724137931034483,46,"adult","low","low","positive",1992-12-08,10.2,"cub","low","after","1",-0.814648319363339
"9",840,"t9001",3,TRUE,FALSE,"bb","00-jan-00",1,"brt st",NA,3,FALSE,NA,NA,"talek","c",1995-12-03,"07:00:00","08:27:00",1995,4,"f","r","bsh",NA,"1","1",1990-03-13,NA,NA,1998-12-29,"dead","humans (spear)",1989-07-13,NA,"talek",1990-05-21,NA,NA,"talek",6,0.655172413793103,76.7,"adult","low","low","positive",1993-12-08,52.9,"adult","low","after","1",-0.814648319363339
"10",867,"t15304.2",3,FALSE,FALSE,"ua","00-jan-00",1,"mob lioness","lioness",10,FALSE,NA,"lion wlk oos w, ignores hyenas","talek","o",1998-09-09,"06:35:00","06:40:00",1998,1,"f","r","79",NA,"0","1",NA,NA,NA,2001-05-05,"dls","lions",1987-03-01,NA,"talek",1988-08-19,NA,NA,"talek",19,-0.285714285714286,138.3,"adult","low","low","positive",1994-06-26,87.8,"adult","low","after","1",-0.559154815261429
