"","plate","spratio","diagnosis","hum.pop.den","sample","kay.code","hy.id","dart.date","sample.origin","notes.appearance","dart.year","dob.date","dob.event.data","disappear.date","disappear.event.status","disappear.event.data","sex","status","mom","dad","number.littermates","litrank","rank.dart","stan.rank.dart","toxo.status.x","age.mon.dart","dob.yr","age.cat.dart","hum.dist.dob","start.date","stop.date","lh.sessions","lh.sessions.pres","ratio.sessions.present","lh.intx","lh.intx.pres","ratio.intx.present","ratio.intx.sessions.present","toxo.status.y","id.reps.lion","min.dist.lion","max.dist.lion","avg.min.dist.lion","avg.dist.age.stndrzd","age.mon.lion","age.cat.lion.first","age.cat.lion.last","mode.age.cat.lion","diagnosis.time.first","diagnosis.time.fin","mode.fd.pres","avg.stan.rank"
"1","plate1",0.62,"positive","hi",3663,"698","odd",2013-06-25,"blood","white",2013,2012-01-03,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mgta",NA,"1","1",NA,NA,"1",17.7,2012,"subadult","hi",2013-06-25,2017-01-01,65,2,0.0307692307692308,28,1,0.0357142857142857,0.0153846153846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","plate1",0.74,"positive","hi",3816,"363","roos",2013-06-07,"blood",NA,2013,2007-03-02,"talek",NA,"dls","double check: alive but with disappeared date","f","r","nav",NA,NA,NA,46,-0.914893617021277,"1",75.2,2007,"adult",NA,2013-06-07,2017-01-01,66,4,0.0606060606060606,29,1,0.0344827586206897,0.0151515151515152,"1",2,2,60,31,0.21,102.6,"adult","adult","adult","after","after","TRUE",NA
"3","plate1",0.7,"positive","hi",4280,"604","hel",2012-05-06,"blood",NA,2012,2006-02-01,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mrph",NA,NA,NA,2,0.96078431372549,"1",75.1,2006,"adult",NA,2012-05-06,2017-01-01,119,26,0.218487394957983,56,3,0.0535714285714286,0.0252100840336134,"1",19,0,100,16.42,-0.32,92.85,"adult","adult","adult","after","after","TRUE",NA
"4","plate1",0.69,"positive","hi",3748,"632","atac",2012-06-13,"blood",NA,2012,2009-02-15,"talek",NA,"dls","double check: alive but with disappeared date","f","r","hel",NA,"1","2",7,0.764705882352941,"1",39.9,2009,"adult",NA,2012-06-13,2017-01-01,112,24,0.214285714285714,51,3,0.0588235294117647,0.0267857142857143,"1",16,1,100,16.5,-0.32,54.16,"adult","adult","adult","after","after","TRUE",NA
"5","plate1",0.84,"positive","hi",4148,"653","pant",2013-05-23,"blood",NA,2013,2010-12-21,"talek",NA,NA,NA,"m","r","hel",NA,"1","2",NA,NA,"1",29,2010,"adult",NA,2013-05-23,2014-01-05,9,1,0.111111111111111,6,0,0,0,"1",2,30,40,35,0.35,36.7,"adult","adult","adult","after","after","TRUE",NA
"6","plate2",0.55,"positive","hi",7235,"707","tilt",2012-05-22,"blood",NA,2012,2008-07-20,"talek",NA,"dls","double check: alive but with disappeared date","f","r","ffl",NA,"1","1",35,-0.333333333333333,"1",46.1,2008,"adult",NA,2012-05-22,2017-01-01,115,8,0.0695652173913043,52,1,0.0192307692307692,0.00869565217391304,"1",3,1,50,33.67,0.3,61.9,"adult","adult","adult","after","after","TRUE",NA
"7","plate2",0.43,"doubtful","hi",7232,"727","hex",2012-06-09,"blood",NA,2012,2003-03-04,"talek",2016-04-13,"dls","inferred dead","f","r","bail",NA,NA,NA,45,-0.725490196078431,"0",111.2,2003,"adult",NA,2003-11-07,2012-06-09,246,37,0.150406504065041,158,14,0.0886075949367089,0.0569105691056911,"0",8,1,100,28,0.19,34,"subadult","adult","adult","before","before","TRUE",NA
"8","plate2",0.62,"positive","hi",7563,"755","pan",2012-05-08,"blood",NA,2012,2004-05-20,"talek",2013-05-20,"dead",NA,"f","r","mrph",NA,"1","1",8,0.725490196078431,"1",95.6,2004,"adult",NA,2012-05-08,2013-03-26,42,4,0.0952380952380952,21,1,0.0476190476190476,0.0238095238095238,"1",1,10,10,10,-0.56,96.8,"adult","adult","adult","after","after","FALSE",0.73
"9","plate2",0.71,"positive","hi",7588,"763","baez",2012-05-19,"blood",NA,2012,2004-10-16,"talek",2005-02-13,"dls","double check: alive but with disappeared date","f","r","bail",NA,"1","1",50,-0.92156862745098,"1",91.1,2004,"adult",NA,2012-05-19,2017-01-01,117,7,0.0598290598290598,54,2,0.037037037037037,0.0170940170940171,"1",4,1,30,9.75,-0.57,102.03,"adult","adult","adult","after","after","TRUE",-0.91
"10","plate2",0.71,"positive","hi",4249,"774","dra",2012-06-10,"blood",NA,2012,2007-11-15,"talek",2012-06-12,"dead","car","f","r","ali",NA,"1","1",31,-0.176470588235294,"1",54.8,2007,"adult",NA,2012-06-10,2012-06-12,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
