id,sex,age,rank,rank_level,status,park,clan,dur_total,t_closest,twinCloseMin,closest_dist,dist_notice,bold_factor,test
alfe,f,adult,-0.098,mid,resident,Narok,talek,192,1.933333333,2.25,2,75,bold,target
ams,m,adult,-1,low,immigrant,TM,north,363,6.05,0,130,140,neutral,target
angi,f,adult,0.158,mid,resident,TM,north,398,3.816666667,5.333333333,2,50,bold,target
aqua,f,adult,0.489,high,resident,Narok,talek,738,0.166666667,0,40,40,fearful,target
art,f,adult,0.09,mid,resident,Narok,talek,236,1.733333333,2.966666667,0.5,65,bold,target
atac,f,adult,0.829,high,resident,Narok,talek,328,5.466666667,0,80,80,neutral,target
bab,f,adult,-0.617,low,resident,Narok,talek,436,2.05,4.6,6,100,bold,target
baca,m,sub,-0.65,low,resident,TM,hz,1350,13.3,9.416666667,4,50,bold,target
baez ,f,adult,-0.872,low,resident,Narok,talek,453,7.55,0,130,130,neutral,target
bilj,f,sub,0.44,high,resident,TM,north,563,9.383333333,0,60,60,fearful,target
blue,f,adult,0.45,high,resident,Narok,talek,213,1.416666667,0.533333333,29.3,120,fearful,target
bnt,f,sub,0.27,mid,resident,Narok,talek,346,2.433333333,3.283333333,15,80,bold,target
bora,f,sub,0.064,mid,resident,Narok,talek,447,7.45,0,60,80,fearful,target
brgr,f,sub,0.6,high,resident,Narok,talek,209,1.25,1.616666667,3,80,bold,target
brph,f,adult,0,mid,resident,TM,south,571,0.583333333,15.51666667,10,30,bold,target
buar,f,adult,0.955,high,resident,Narok,talek,220,1.6,0,50,100,neutral,target
cart,f,adult,-0.787,low,resident,Narok,talek,394,2.733333333,2.05,4,140,fearful,target
chco,f,sub,-0.4,low,resident,Narok,talek,587,2.966666667,4.116666667,0.5,49,bold,target
chle,m,sub,0.999,high,resident,Narok,talek,551,5.15,4.083333333,9,70,neutral,target
crim,f,sub,0.33,high,resident,TM,north,356,5.933333333,0,45,45,neutral,target
crms,f,adult,0.61,high,resident,Narok,talek,374,6.233333333,0,50,50,neutral,target
ddma,m,adult,-1,low,immigrant,Narok,talek,570,3.183333333,3.733333333,4,60,bold,target
digs,f,adult,0.579,high,resident,TM,north,450,6.216666667,3.183333333,10,70,bold,target
ema,f,adult,-0.579,low,resident,TM,north,377,6.283333333,0,70,70,neutral,target
endr,m,sub,0.75,high,resident,Narok,talek,867,8.7,5.15,3,80,bold,target
erem,f,adult,0.733,high,resident,TM,hz,763,5,9.466666667,0.5,50,bold,target
