"","plate","spratio","diagnosis","hum.pop.den","sample","kay.code","hy.id","dart.date","sample.origin","notes.appearance","dart.year","dob.date","dob.event.data","disappeared.date","disappeared.event.status","disappeared.event.data","sex","status","mom","dad","number.littermates","litrank","toxo.status","age.mon.dart","dob.yr","age.cat.dart","hum.dist.dob","rank.dart","stan.rank.dart"
"1","plate1",0.62,"positive","hi",3663,"698","odd",2013-06-25,"blood","white",2013,2012-01-03,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mgta",NA,"1","1","1",17.7,2012,"subadult","hi",NA,NA
"2","plate1",0.74,"positive","hi",3816,"363","roos",2013-06-07,"blood",NA,2013,2007-03-02,"talek",NA,"dls","double check: alive but with disappeared date","f","r","nav",NA,NA,NA,"1",75.2,2007,"adult",NA,44,-0.829787234042553
"3","plate1",0.7,"positive","hi",4280,"604","hel",2012-05-06,"blood",NA,2012,2006-02-01,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mrph",NA,NA,NA,"1",75.1,2006,"adult",NA,2,0.96
"4","plate1",0.69,"positive","hi",3748,"632","atac",2012-06-13,"blood",NA,2012,2009-02-15,"talek",NA,"dls","double check: alive but with disappeared date","f","r","hel",NA,"1","2","1",39.9,2009,"adult",NA,7,0.76
"5","plate1",0.84,"positive","hi",4148,"653","pant",2013-05-23,"blood",NA,2013,2010-12-21,"talek",2015-02-01,"dls","dispersed","m","r","hel",NA,"1","2","1",29,2010,"adult",NA,NA,NA
"6","plate2",0.55,"positive","hi",7235,"707","tilt",2012-05-22,"blood",NA,2012,2008-07-20,"talek",NA,"dls","double check: alive but with disappeared date","f","r","ffl",NA,"1","1","1",46.1,2008,"adult",NA,35,-0.36
"7","plate2",0.43,"doubtful","hi",7232,"727","hex",2012-06-09,"blood",NA,2012,2003-03-04,"talek",2016-04-13,"dls","inferred dead","f","r","bail",NA,NA,NA,"0",111.2,2003,"adult",NA,45,-0.76
"8","plate2",0.62,"positive","hi",7563,"755","pan",2012-05-08,"blood",NA,2012,2004-05-20,"talek",2013-03-21,"dead","","f","r","mrph",NA,"1","1","1",95.6,2004,"adult",NA,8,0.72
"9","plate2",0.71,"positive","hi",7588,"763","baez",2012-05-19,"blood",NA,2012,2004-10-16,"talek",NA,"","","f","r","bail",NA,"1","1","1",91.1,2004,"adult",NA,48,-0.88
"10","plate2",0.71,"positive","hi",4249,"774","dra",2012-06-10,"blood",NA,2012,2007-11-15,"talek",2012-06-12,"dead","car","f","r","ali",NA,"1","1","1",54.8,2007,"adult",NA,31,-0.2
"11","plate2",0.47,"doubtful","hi",5571,"781","juno",2012-05-28,"blood",NA,2012,2008-04-20,"talek",NA,"dls","double check: alive but with disappeared date","f","r","mrph",NA,"1","1","0",49.2,2008,"adult",NA,5,0.84
"12","plate2",0.43,"doubtful","hi",3752,"807","mgta",2012-04-11,"blood",NA,2012,2009-01-10,"talek",2019-05-30,"dls","","f","r","mos",NA,"1","1","0",39,2009,"adult",NA,13,0.52
"13","plate2",0.87,"positive","hi",7277,"808","obam",2012-06-07,"blood",NA,2012,2008-11-13,"talek",2014-04-12,"dead","poison (april 2014 incident)","f","r","nav",NA,"1","2","1",42.8,2008,"adult",NA,44,-0.72
"14","plate2",0.71,"positive","hi",12108,"813","amaz",2012-06-16,"blood","cream; normal",2012,2009-02-15,"talek",NA,"dls","double check: alive but with disappeared date","f","r","hel",NA,"1","1","1",40,2009,"adult",NA,4,0.88
