"SPratio","diagnosis","id","date","sex","status","first_seen","den_grad","disappeared","mom","birthdate","clan","start.date","stop.date","lh.sessions","lh.sessions.pres","ratio.sessions.present","lh.intx","lh.intx.pres","ratio.intx.present","ratio.intx.sessions.present"
"0.62","positive","odd",2013-06-25,"f","r",2012-03-06,2012-09-14,,"mgta",2012-01-03,"talek","2013-06-25","2017-01-01",65,2,0.0307692307692308,28,1,0.0357142857142857,0.0153846153846154
"0.74","positive","roos",2013-06-07,"f","r",2007-10-13,,,"nav",2007-03-02,"talek","2013-06-07","2017-01-01",66,4,0.0606060606060606,29,1,0.0344827586206897,0.0151515151515152
"0.7","positive","hel",2012-05-06,"f","r",2006-06-08,2006-11-11,,"mrph",2006-02-01,"talek","2012-05-06","2017-01-01",119,26,0.218487394957983,56,3,0.0535714285714286,0.0252100840336134
"0.69","positive","atac",2012-06-13,"f","r",2009-06-03,2009-10-18,,"hel",2009-02-15,"talek","2012-06-13","2017-01-01",112,24,0.214285714285714,51,3,0.0588235294117647,0.0267857142857143
"0.84","positive","pant",2013-05-23,"m","r",2011-01-29,2011-06-13,2014-01-05,"hel",2010-12-21,"talek","2013-05-23","2014-01-05",9,1,0.111111111111111,6,0,0,0
"0.55","positive","tilt",2012-05-22,"f","r",2008-07-26,2009-05-04,,"ffl",2008-07-20,"talek","2012-05-22","2017-01-01",115,8,0.0695652173913043,52,1,0.0192307692307692,0.00869565217391304
"0.43","doubtful","hex",2012-06-09,"f","r",2003-04-24,2003-11-07,2016-04-13,"bail",2003-03-04,"talek","2003-11-07","2012-06-09",246,37,0.150406504065041,158,14,0.0886075949367089,0.0569105691056911
"0.62","positive","pan",2012-05-08,"f","r",2004-07-01,2005-03-01,2013-03-26,"mrph",2004-05-20,"talek","2012-05-08","2013-03-26",42,4,0.0952380952380952,21,1,0.0476190476190476,0.0238095238095238
"0.71","positive","baez",2012-05-19,"f","r",2005-02-13,2005-07-02,,"bail",2004-10-16,"talek","2012-05-19","2017-01-01",117,7,0.0598290598290598,54,2,0.037037037037037,0.0170940170940171
"0.71","positive","dra",2012-06-10,"f","r",2008-04-09,2008-07-10,2012-06-12,"ali",2007-11-15,"talek","2012-06-10","2012-06-12",0,0,,0,0,,
"0.47","doubtful","juno",2012-05-28,"f","r",2008-05-20,2009-01-28,,"mrph",2008-04-20,"talek","2009-01-28","2012-05-28",79,21,0.265822784810127,43,5,0.116279069767442,0.0632911392405063
"0.43","doubtful","mgta",2012-04-11,"f","r",2009-02-17,2009-08-05,,"mos",2009-01-10,"talek","2009-08-05","2012-04-11",67,6,0.0895522388059701,33,3,0.0909090909090909,0.0447761194029851
"0.87","positive","obam",2012-06-07,"f","r",2008-12-07,2009-07-16,2014-04-12,"nav",2008-11-13,"talek","2012-06-07","2014-04-12",61,6,0.0983606557377049,30,2,0.0666666666666667,0.0327868852459016
"0.71","positive","amaz",2012-06-16,"f","r",2009-06-03,2009-11-19,,"hel",2009-02-15,"talek","2012-06-16","2017-01-01",110,17,0.154545454545455,50,2,0.04,0.0181818181818182
"0.58","positive","buar",2012-05-26,"f","r",2010-01-30,2010-08-03,,"hel",2009-12-18,"talek","2012-05-26","2017-01-01",115,18,0.156521739130435,52,1,0.0192307692307692,0.00869565217391304
"0.52","positive","ziti",2013-06-05,"m","r",2010-06-09,2010-11-12,,"guci",2010-04-03,"talek","2013-06-05","2017-01-01",66,11,0.166666666666667,29,5,0.172413793103448,0.0757575757575758
"0.48","doubtful","tnks",2014-08-08,"f","r",2013-05-14,,,"alfe",2013-03-15,"talek","2014-03-15","2014-08-08",2,0,0,2,0,0,0
"0.22","negative","twst",2012-05-07,"f","r",2011-05-12,2011-11-19,,"adon",2011-03-03,"talek","2011-11-19","2012-05-07",5,0,0,2,0,0,0
"0.8","positive","alde",2012-04-30,"m","r",2010-12-13,2011-06-08,2013-03-21,"loki",2010-11-01,"talek","2012-04-30","2013-03-21",43,5,0.116279069767442,22,1,0.0454545454545455,0.0232558139534884
"0.51","positive","bora",2012-06-01,"f","r",2011-04-23,2011-12-06,,"art",2010-12-23,"talek","2012-06-01","2017-01-01",114,17,0.149122807017544,52,4,0.0769230769230769,0.0350877192982456
"0.89","positive","ted",2012-05-24,"f","r",2011-01-22,2011-05-25,,"aqua",2010-10-30,"talek","2012-05-24","2017-01-01",115,8,0.0695652173913043,52,0,0,0
"0.7","positive","endr",2012-05-25,"m","r",2010-12-13,2011-07-06,2014-03-27,"loki",2010-11-01,"talek","2012-05-25","2014-03-27",63,7,0.111111111111111,31,2,0.0645161290322581,0.0317460317460317
"0.49","positive","neon",2012-06-15,"f","r",2011-04-27,2011-11-18,,"yog",2010-12-26,"talek","2012-06-15","2017-01-01",111,12,0.108108108108108,51,3,0.0588235294117647,0.027027027027027
"0.7","positive","gala",2013-09-04,"f","r",2012-01-08,2012-09-15,2014-04-10,"hel",2012-01-06,"talek","2013-09-04","2014-04-10",13,4,0.307692307692308,7,1,0.142857142857143,0.0769230769230769
