"clan","session","location","date","start","stop","no_intx_yes_no"
"talek","t87948","o",2014-09-13,2018-01-01 06:47:00,2018-01-01 06:52:00,TRUE
"talek","t88047","c",2014-09-19,2018-01-01 18:39:00,2018-01-01 18:44:00,TRUE
"talek","t88076","k",2014-09-21,2018-01-01 07:25:00,2018-01-01 07:30:00,TRUE
"talek","t89766","o",2015-01-01,2018-01-01 17:52:00,2018-01-01 17:57:00,TRUE
"talek","t88150","d",2014-09-26,2018-01-01 07:18:00,2018-01-01 07:54:00,FALSE
"talek","t88208","o",2014-10-06,2018-01-01 06:39:00,2018-01-01 06:44:00,TRUE
"talek","t88538","o",2014-10-25,2018-01-01 07:19:00,2018-01-01 07:24:00,TRUE
"talek","t1013.3","o",1990-04-11,2018-01-01 17:26:00,2018-01-01 18:17:00,FALSE
"talek","t10175","d",1996-07-27,2018-01-01 06:15:00,2018-01-01 06:20:00,FALSE
"talek","t1018","d",1990-04-14,2018-01-01 17:19:00,2018-01-01 18:55:00,TRUE
"talek","t1021.7","o",1990-04-16,2018-01-01 18:32:00,2018-01-01 18:37:00,TRUE
"talek","t1038.3","k",1990-04-25,2018-01-01 18:25:00,2018-01-01 18:45:00,FALSE
"talek","t10682","k",1996-09-04,2018-01-01 19:15:00,2018-01-01 19:55:00,FALSE
"talek","t10705","k",1996-09-12,2018-01-01 06:21:00,2018-01-01 07:53:00,FALSE
"talek","t10723.13","k",1996-09-17,2018-01-01 07:20:00,2018-01-01 07:25:00,TRUE
"talek","t10748","o",1996-09-29,2018-01-01 18:06:00,2018-01-01 18:48:00,TRUE
"talek","t10764.11","o",1996-10-06,2018-01-01 06:42:00,2018-01-01 06:47:00,TRUE
"talek","t10764.2","k",1996-10-06,2018-01-01 08:28:00,2018-01-01 08:40:00,FALSE
"talek","t10764.5","o",1996-10-06,2018-01-01 06:56:00,2018-01-01 08:14:00,FALSE
"talek","t10765","o",1996-10-06,2018-01-01 18:40:00,2018-01-01 18:45:00,TRUE
"talek","t10785","k",1996-10-12,2018-01-01 18:08:00,2018-01-01 18:52:00,FALSE
"talek","t10790.14","k",1996-10-14,2018-01-01 07:26:00,2018-01-01 07:31:00,TRUE
"talek","t10807","k",1996-10-18,2018-01-01 06:05:00,2018-01-01 07:08:00,FALSE
"talek","t10847","k",1996-10-26,2018-01-01 06:07:00,2018-01-01 09:05:00,FALSE
"talek","t1088.2","o",1990-06-05,2018-01-01 07:24:00,2018-01-01 07:56:00,FALSE
"talek","t10897","k",1996-11-12,2018-01-01 05:51:00,2018-01-01 06:31:00,FALSE
"talek","t10913.1","o",1996-11-15,2018-01-01 08:42:00,2018-01-01 09:05:00,TRUE
"talek","t10917","m",1996-11-16,2018-01-01 06:22:00,2018-01-01 07:28:00,TRUE
"talek","t10941.3","k",1996-11-24,2018-01-01 09:11:00,2018-01-01 09:16:00,TRUE
"talek","t11022","o",1996-12-18,2018-01-01 06:10:00,2018-01-01 08:51:00,FALSE
"talek","t11030","d",1996-12-21,2018-01-01 06:30:00,2018-01-01 07:10:00,FALSE
"talek","t11080","o",1997-01-04,2018-01-01 06:34:00,2018-01-01 08:23:00,FALSE
"talek","t1110.3","k",1990-06-27,2018-01-01 07:00:00,2018-01-01 10:10:00,FALSE
"talek","t11103.2","o",1997-01-10,2018-01-01 07:42:00,2018-01-01 08:12:00,TRUE
"talek","t11128","k",1997-01-18,2018-01-01 06:44:00,2018-01-01 08:26:00,FALSE
"talek","t11163.2","m",1997-02-04,2018-01-01 07:16:00,2018-01-01 07:22:00,FALSE
"talek","t11163.4","m",1997-02-04,2018-01-01 07:30:00,2018-01-01 07:42:00,TRUE
"talek","t11172.1","k",1997-02-08,2018-01-01 08:38:00,2018-01-01 09:18:00,TRUE
"talek","t11175","k",1997-02-09,2018-01-01 06:35:00,2018-01-01 07:20:00,FALSE
"talek","t11235","k",1997-03-03,2018-01-01 06:26:00,2018-01-01 07:00:00,TRUE
"talek","t11259","d",1997-03-08,2018-01-01 06:23:00,2018-01-01 07:24:00,FALSE
"talek","t11396.2","k",1997-04-21,2018-01-01 18:32:00,2018-01-01 18:39:00,FALSE
"talek","t1140","k",1990-08-02,2018-01-01 06:43:00,2018-01-01 09:28:00,FALSE
"talek","t11408","k",1997-04-27,2018-01-01 06:23:00,2018-01-01 07:04:00,FALSE
"talek","t11417.2","k",1997-04-30,2018-01-01 07:47:00,2018-01-01 08:02:00,FALSE
"talek","t11582","m",1997-05-20,2018-01-01 07:13:00,2018-01-01 07:29:00,TRUE
"talek","t11588","o",1997-05-21,2018-01-01 07:59:00,2018-01-01 08:04:00,TRUE
"talek","t11649","o",1997-05-28,2018-01-01 06:29:00,2018-01-01 06:44:00,TRUE
"talek","t11656.3","m",1997-05-30,2018-01-01 06:33:00,2018-01-01 06:38:00,TRUE
"talek","t11661.4","o",1997-05-30,2018-01-01 18:01:00,2018-01-01 18:06:00,TRUE
"talek","t11751","m",1997-06-06,2018-01-01 06:55:00,2018-01-01 07:09:00,FALSE
"talek","t11891","k",1997-06-13,2018-01-01 06:43:00,2018-01-01 07:30:00,FALSE
"talek","t1190","k",1990-08-21,2018-01-01 06:30:00,2018-01-01 08:12:00,TRUE
"talek","t11943.1","o",1997-06-16,2018-01-01 08:05:00,2018-01-01 08:10:00,TRUE
"talek","t1198.1","o",1990-08-25,2018-01-01 06:56:00,2018-01-01 07:01:00,TRUE
"talek","t1209","k",1990-08-31,2018-01-01 09:00:00,2018-01-01 09:29:00,FALSE
"talek","t1213","d",1990-09-03,2018-01-01 06:36:00,2018-01-01 07:48:00,TRUE
"talek","t12172","o",1997-07-01,2018-01-01 07:53:00,2018-01-01 07:58:00,FALSE
"talek","t12214","k",1997-07-02,2018-01-01 06:00:00,2018-01-01 07:00:00,FALSE
"talek","t1238","k",1990-09-19,2018-01-01 07:00:00,2018-01-01 07:08:00,TRUE
"talek","t12433","o",1997-07-09,2018-01-01 07:38:00,2018-01-01 07:43:00,TRUE
"talek","t1245","k",1990-09-24,2018-01-01 07:08:00,2018-01-01 07:26:00,FALSE
"talek","t1247","d",1990-09-24,2018-01-01 17:59:00,2018-01-01 18:50:00,TRUE
"talek","t12504","d",1997-07-12,2018-01-01 06:28:00,2018-01-01 07:39:00,TRUE
"talek","t127.2","o",1988-09-08,2018-01-01 17:45:00,2018-01-01 17:54:00,TRUE
"talek","t1287","k",1990-10-18,2018-01-01 06:27:00,2018-01-01 07:13:00,TRUE
"talek","t12927","m",1997-07-26,2018-01-01 07:50:00,2018-01-01 08:19:00,FALSE
"talek","t12939","k",1997-07-26,2018-01-01 07:14:00,2018-01-01 08:00:00,FALSE
"talek","t13099","k",1997-08-03,2018-01-01 07:01:00,2018-01-01 07:37:00,FALSE
"talek","t13101","k",1997-08-03,2018-01-01 06:31:00,2018-01-01 06:59:00,FALSE
"talek","t1311","o",1990-11-11,2018-01-01 07:16:00,2018-01-01 08:25:00,TRUE
"talek","t13174","k",1997-08-08,2018-01-01 06:43:00,2018-01-01 07:19:00,FALSE
"talek","t13412.2","o",1997-09-05,2018-01-01 06:31:00,2018-01-01 06:36:00,TRUE
"talek","t13434","m",1997-09-07,2018-01-01 06:18:00,2018-01-01 06:35:00,FALSE
"talek","t13436","k",1997-09-07,2018-01-01 07:04:00,2018-01-01 07:20:00,FALSE
"talek","t135.2","d",1988-09-12,2018-01-01 06:28:00,2018-01-01 06:51:00,FALSE
"talek","t13536","k",1997-09-15,2018-01-01 06:35:00,2018-01-01 08:08:00,FALSE
"talek","t1360","k",1990-12-22,2018-01-01 07:00:00,2018-01-01 08:20:00,FALSE
"talek","t1361","d",1990-12-23,2018-01-01 17:44:00,2018-01-01 18:39:00,TRUE
"talek","t1365","o",1990-12-24,2018-01-01 07:22:00,2018-01-01 07:27:00,TRUE
"talek","t1369","d",1990-12-25,2018-01-01 17:58:00,2018-01-01 19:01:00,TRUE
"talek","t1373","d",1990-12-27,2018-01-01 17:32:00,2018-01-01 19:12:00,TRUE
"talek","t1374","k",1990-12-28,2018-01-01 07:22:00,2018-01-01 07:32:00,TRUE
"talek","t1386","k",1990-12-31,2018-01-01 06:15:00,2018-01-01 08:42:00,FALSE
"talek","t1388","d",1991-01-01,2018-01-01 06:16:00,2018-01-01 06:27:00,TRUE
"talek","t1388.2","o",1991-01-01,2018-01-01 07:06:00,2018-01-01 07:16:00,TRUE
"talek","t1389","o",1991-01-01,2018-01-01 07:26:00,2018-01-01 07:54:00,TRUE
"talek","t14018","o",1997-11-13,2018-01-01 17:52:00,2018-01-01 18:05:00,TRUE
"talek","t1411","o",1991-01-07,2018-01-01 18:36:00,2018-01-01 19:04:00,TRUE
"talek","t14470.8","k",1998-01-03,2018-01-01 06:59:00,2018-01-01 07:09:00,FALSE
