"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank","a.cycle.start","a.cycle.stop","a.state","a.trimester","a.cub1","a.cub2","a.notes","age.1st.part.mon","age.1st.part.days","long.mon","long.days","cur.age.2017.mon","cur.age.2019.mon","dob.mon","migratn.seas","dob.yr","hum.pres","part.rt.censr","mean.meth.cnt","mean.meth.quint"
"1","adon","cubsub",1,77.81591859,77.82,NA,2002-02-08,2002-02-08,325,10.68,325,10.68,"cub",2001-10-08,NA,NA,2017-12-04,"dls","double check: alive but with disappeared date",2001-03-20,NA,"talek",2001-12-06,NA,NA,"f","r","mrph",NA,"twin",2,"2004-02-05","2004-02-12","l","4","yat",NA,"yat missing from weaning table - cub died < 1yr",34.6,1052,200.5,6103,189.4,213.4,3,"none",2001,"med",1,1.9412048192771,"Q5"
"2","alfe","cubsub",1,77.83946655,77.84,NA,2009-09-15,2009-09-15,253,8.31,253,8.31,"cub",2009-08-02,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-01-05,NA,"talek",2010-01-15,NA,NA,"f","r","guci",NA,"twin",1,"2013-03-16","2013-11-25","l","4","tnks",NA,"",50.3,1531,NA,NA,95.9,119.8,1,"none",2009,"hi",1,1.96120481927711,"Q5"
"3","ali","cubsub",1,76.63070309,76.63,NA,1999-04-26,1999-04-26,630,20.7,630,20.7,"subadult",1998-08-18,NA,NA,2017-06-11,"dls","double check: alive but with disappeared date",1997-08-04,NA,"talek",1998-06-21,NA,NA,"f","r","bb","mike","twin",1,"2000-07-20","2000-07-25","l","4","slx",NA,"slx missing from weaning table - cub died < 1yr",35.5,1081,238.2,7251,232.9,256.9,8,"migration",1997,"low",1,0.751204819277106,"Q3"
"4","amar","cubsub",1,75.44144078,75.44,NA,1995-10-25,1995-10-25,273,8.97,273,8.97,"cub",1995-10-24,NA,NA,2003-06-13,"dls","inferred dead",1995-01-25,NA,"talek",1996-07-15,NA,NA,"f","r","ua","fn","twin",1,"1999-02-13","2000-02-22","l","4","gui","tus","",48.6,1480,100.6,3061,263.2,287.2,1,"none",1995,"low",1,-0.438795180722892,"Q2"
"5","art","cubsub",1,70.8572456,70.86,NA,2001-05-13,2001-05-13,415,13.63,415,13.63,"subadult",2000-09-30,NA,NA,2014-01-03,"dead","humans (spear)",2000-03-24,NA,"talek",2000-12-14,NA,NA,"f","r","mrph",NA,"twin",1,"2002-11-25","2003-09-12","l","4","kik",NA,"",32.1,976,165.3,5033,201.3,225.3,3,"none",2000,"med",1,-5.01879518072289,"Q1 (lowest)"
"6","ath","cubsub",1,78.03475892,78.03,NA,1999-11-26,1999-11-26,371,12.19,371,12.19,"subadult",1999-07-19,NA,NA,2004-03-31,"dead","snake bite",1998-11-20,NA,"talek",1999-12-17,NA,NA,"f","r","mrph",NA,"twin",1,"2001-03-14","2002-01-16","l","4","zc",NA,"",27.8,845,64.3,1958,217.4,241.4,11,"none",1998,"low",1,2.15120481927711,"Q5"
"7","avce","cubsub",1,79.17708557,79.18,NA,2011-05-31,2011-05-31,459,15.08,459,15.08,"subadult",2011-01-10,NA,NA,2013-05-27,"dls","inferred dead",2010-02-26,NA,"talek",2011-01-25,"error",NA,"f","r","arg",NA,"twin",2,"2013-03-05","2013-05-27","l","4","sarn","kcha","sarn, kcha missing from weaning table - mom or cub died < 1yr",36.2,1103,39,1186,82.2,106.1,2,"none",2010,"hi",1,3.30120481927712,"Q5"
"8","baez","cubsub",2,72.88670643,72.42,0.66,2005-12-14,2006-06-20,424,13.93,518,17.02,"subadult",2005-07-02,NA,NA,NA,"dls","double check: alive but with disappeared date",2004-10-16,NA,"talek",2005-08-05,NA,NA,"f","r","bail",NA,"twin",1,"2009-02-02","2009-10-04","l","4","hamm",NA,"",51.6,1570,NA,NA,146.5,170.5,10,"migration",2004,"med",1,-3.45879518072289,"Q1 (lowest)"
"9","blue","cubsub",1,78.94405899,78.94,NA,2009-07-07,2009-07-07,503,16.52,503,16.52,"subadult",2008-10-07,NA,NA,2012-06-30,"dls","inferred dead",2008-02-20,NA,"talek",2009-01-22,NA,NA,"f","r","mos",NA,"twin",NA,"2010-12-19","2012-04-30","l","4","shfx","zeny","",33.9,1033,52.3,1592,106.4,130.4,2,"none",2008,"med",1,3.06120481927711,"Q5"
"10","bnt","cubsub",1,78.96434121,78.96,NA,2013-05-07,2013-05-07,590,19.38,590,19.38,"subadult",2012-07-21,NA,NA,NA,"dls","double check: alive but with disappeared date",2011-09-25,NA,"talek",2012-09-20,NA,NA,"f","r","mono",NA,"single",NA,"2014-10-28","2015-03-27","l","4","drog",NA,"",37.1,1129,NA,NA,63.2,87.2,9,"migration",2011,"hi",1,3.0812048192771,"Q5"
