"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank"
"1","acon","cubsub",1,75.57616611,75.58,NA,2011-05-05,2011-05-05,503,16.52,503,16.52,"subadult",2010-08-03,NA,NA,NA,NA,NA,2009-12-18,NA,"talek",2010-08-20,NA,NA,"m","r","hel",NA,1,1
"2","adon","cubsub",1,77.81591859,77.82,NA,2002-02-08,2002-02-08,325,10.68,325,10.68,"cub",2001-10-08,NA,NA,2017-12-04,"dls","double check: alive but with disappeared date",2001-03-20,NA,"talek",2001-12-06,NA,NA,"f","r","mrph",NA,1,2
"3","alde","cubsub",1,76.06680775,76.07,NA,2012-04-30,2012-04-30,546,17.94,546,17.94,"subadult",2011-06-08,NA,NA,NA,NA,NA,2010-11-01,NA,"talek",2011-08-10,NA,NA,"m","r","loki",NA,1,1
"4","alfe","cubsub",1,77.83946655,77.84,NA,2009-09-15,2009-09-15,253,8.31,253,8.31,"cub",2009-08-02,NA,NA,NA,"dls","double check: alive but with disappeared date",2009-01-05,NA,"talek",2010-01-15,NA,NA,"f","r","guci",NA,1,1
"5","ali","cubsub",1,76.63070309,76.63,NA,1999-04-26,1999-04-26,630,20.7,630,20.7,"subadult",1998-08-18,NA,NA,2017-06-11,"dls","double check: alive but with disappeared date",1997-08-04,NA,"talek",1998-06-21,NA,NA,"f","r","bb","mike",1,1
"6","alls","cubsub",1,76.02867007,76.03,NA,2013-02-28,2013-02-28,470,15.44,470,15.44,"subadult",2012-07-04,NA,NA,2013-05-04,"dls","inferred dead",2011-11-16,NA,"talek",2012-09-23,NA,NA,"f","r","hex",NA,1,1
"7","alum","cubsub",1,74.25417095,74.25,NA,2004-04-28,2004-04-28,277,9.1,277,9.1,"cub",2004-03-03,NA,NA,NA,NA,NA,2003-07-26,NA,"talek",2004-03-16,NA,NA,"m","r","ath",NA,NA,NA
"8","amar","cubsub",1,75.44144078,75.44,NA,1995-10-25,1995-10-25,273,8.97,273,8.97,"cub",1995-10-24,NA,NA,2003-06-13,"dls","inferred dead",1995-01-25,NA,"talek",1996-07-15,NA,NA,"f","r","ua","fn",1,1
"9","ani","cubsub",1,74.40947996,74.41,NA,2001-05-11,2001-05-11,541,17.77,541,17.77,"subadult",2000-07-03,NA,NA,2001-05-11,"dls","inferred dead",1999-11-17,NA,"talek",2000-08-28,NA,NA,"f","r","bail",NA,1,1
"10","arlo","cubsub",1,67.10265106,67.1,NA,2001-11-13,2001-11-13,347,11.4,347,11.4,"cub",2001-08-18,NA,NA,2001-11-13,"dls","inferred dead",2000-12-01,NA,"talek",NA,NA,NA,"m","r","bail",NA,0,NA
"11","art","cubsub",1,70.8572456,70.86,NA,2001-05-13,2001-05-13,415,13.63,415,13.63,"subadult",2000-09-30,NA,NA,2014-01-03,"dead","humans (spear)",2000-03-24,NA,"talek",2000-12-14,NA,NA,"f","r","mrph",NA,1,1
