"","hy.id","age.dart.bi","n.meth","first.meth","mean.meth","sd.meth","first.dart.date","last.dart.date","first.age.dart.days","first.age.dart.mon","avg.age.dart.days","avg.age.dart.mon","first.age.dart.cat","dengrad.date","dengrad.event.status","dengrad.event.data","disappear.date","disappear.event.status","disappear.event.data","dob.date","dob.event.status","dob.event.data","wean.date","wean.event.status","wean.event.data","sex","status","mom","dad","number.littermates","litrank","a.cycle.start","a.cycle.stop","a.state","a.trimester","a.cub1","a.cub2","a.notes","age.1st.part.mon","age.1st.part.days","long.mon","long.days","cur.age.2017.mon","cur.age.2019.mon","dob.mon","migratn.seas","dob.yr","hum.pres","surv.rt.censr","two.yr.surv","sqrt.long.mon","log.long.mon","mean.meth.cnt","mean.meth.quart"
"1","alls","cubsub",1,76.02867007,76.03,NA,2013-02-28,2013-02-28,470,15.44,470,15.44,"subadult",2012-07-04,NA,NA,2013-05-04,"dls","inferred dead",2011-11-16,NA,"talek",2012-09-23,NA,NA,"f","r","hex",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,535,61.5,85.5,11,"none",2011,"hi",1,1,4.19523539268061,2.86789890204411,0.435087719298252,"Q2"
"2","amar","cubsub",1,75.44144078,75.44,NA,1995-10-25,1995-10-25,273,8.97,273,8.97,"cub",1995-10-24,NA,NA,2003-06-13,"dls","inferred dead",1995-01-25,NA,"talek",1996-07-15,NA,NA,"f","r","ua","fn","twin",1,"1999-02-13","2000-02-22","l","4","gui","tus","",48.6,1480,100.6,3061,263.2,287.2,1,"none",1995,"low",1,0,10.0299551344959,4.61115225766564,-0.154912280701751,"Q2"
"3","ani","cubsub",1,74.40947996,74.41,NA,2001-05-11,2001-05-11,541,17.77,541,17.77,"subadult",2000-07-03,NA,NA,2001-05-11,"dls","inferred dead",1999-11-17,NA,"talek",2000-08-28,NA,NA,"f","r","bail",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,541,205.5,229.5,11,"none",1999,"low",1,1,4.2190046219458,2.87919845729804,-1.18491228070175,"Q1 (lowest)"
"4","art","cubsub",1,70.8572456,70.86,NA,2001-05-13,2001-05-13,415,13.63,415,13.63,"subadult",2000-09-30,NA,NA,2014-01-03,"dead","humans (spear)",2000-03-24,NA,"talek",2000-12-14,NA,NA,"f","r","mrph",NA,"twin",1,"2002-11-25","2003-09-12","l","4","kik",NA,"",32.1,976,165.3,5033,201.3,225.3,3,"none",2000,"med",1,0,12.8569047597001,5.10776200482698,-4.73491228070175,"Q1 (lowest)"
"5","ath","cubsub",1,78.03475892,78.03,NA,1999-11-26,1999-11-26,371,12.19,371,12.19,"subadult",1999-07-19,NA,NA,2004-03-31,"dead","snake bite",1998-11-20,NA,"talek",1999-12-17,NA,NA,"f","r","mrph",NA,"twin",1,"2001-03-14","2002-01-16","l","4","zc",NA,"",27.8,845,64.3,1958,217.4,241.4,11,"none",1998,"low",1,0,8.01872807869178,4.16355963124357,2.43508771929825,"Q4"
"6","avce","cubsub",1,79.17708557,79.18,NA,2011-05-31,2011-05-31,459,15.08,459,15.08,"subadult",2011-01-10,NA,NA,2013-05-27,"dls","inferred dead",2010-02-26,NA,"talek",2011-01-25,"error",NA,"f","r","arg",NA,"twin",2,"2013-03-05","2013-05-27","l","4","sarn","kcha","sarn, kcha missing from weaning table - mom or cub died < 1yr",36.2,1103,39,1186,82.2,106.1,2,"none",2010,"hi",1,0,6.2449979983984,3.66356164612965,3.58508771929826,"Q4"
"7","bass","cubsub",1,75.20829745,75.21,NA,2001-06-23,2001-06-23,363,11.93,363,11.93,"cub",2001-03-18,NA,NA,2001-06-22,"dls","inferred dead",2000-06-25,NA,"talek",NA,"dbw",NA,"f","r","amar",NA,"twin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,362,198.2,222.2,6,"migration",2000,"med",1,1,3.44963766213207,2.47653840011748,-0.384912280701755,"Q2"
"8","blue","cubsub",1,78.94405899,78.94,NA,2009-07-07,2009-07-07,503,16.52,503,16.52,"subadult",2008-10-07,NA,NA,2012-06-30,"dls","inferred dead",2008-02-20,NA,"talek",2009-01-22,NA,NA,"f","r","mos",NA,"twin",NA,"2010-12-19","2012-04-30","l","4","shfx","zeny","",33.9,1033,52.3,1592,106.4,130.4,2,"none",2008,"med",1,0,7.23187389270582,3.95699637107088,3.34508771929825,"Q4"
"9","bsl","cubsub",1,77.1972763,77.2,NA,2004-11-06,2004-11-06,625,20.53,625,20.53,"subadult",2003-12-14,NA,NA,2006-07-19,"dls","inferred dead",2003-02-20,NA,"talek",2004-01-27,NA,NA,"f","r","whh",NA,NA,NA,"2005-04-16","2005-11-20","l","4","lj","mmn","",25.8,786,40.9,1245,166.4,190.3,2,"none",2003,"med",1,0,6.39531078212779,3.71113006304876,1.60508771929825,"Q3"
"10","bsp","cubsub",1,75.90787513,75.91,NA,2000-05-28,2000-05-28,400,13.14,400,13.14,"subadult",1999-12-18,NA,NA,2001-05-08,"dls","inferred dead",1999-04-24,NA,"talek",2000-03-02,NA,NA,"f","r","mp","zig","twin",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,745,212.3,236.3,4,"none",1999,"low",1,0,4.94974746830583,3.19867311755068,0.315087719298248,"Q2"
