kay_code,id,darting_date,disappeared,mortality_source,death_date,clan
698,odd,6/25/13,NA,,NA,talek
363,roos,6/7/13,NA,,NA,talek
604,hel,5/6/12,NA,,NA,talek
632,atac,6/13/12,NA,,NA,talek
653,pant,5/23/13,1/5/14,,NA,talek
707,tilt,5/22/12,NA,,NA,talek
727,hex,6/9/12,4/13/16,,NA,talek
755,pan,5/8/12,3/26/13,,5/21/13,talek
763,baez,5/19/12,NA,,NA,talek
774,dra,6/10/12,6/12/12,car,6/12/12,talek
781,juno,5/28/12,NA,,NA,talek
807,mgta,4/11/12,NA,,NA,talek
808,obam,6/7/12,4/12/14,poison (april 2014 incident),4/12/14,talek
813,amaz,6/16/12,NA,,NA,talek
845,buar,5/26/12,NA,,NA,talek
848,ziti,6/5/13,NA,,NA,talek
555,tnks,8/8/14,NA,,NA,talek
627,twst,5/7/12,NA,,NA,talek
630,alde,4/30/12,3/21/13,,NA,talek
636,bora,6/1/12,NA,,NA,talek
647,ted,5/24/12,NA,,NA,talek
648,endr,5/25/12,3/27/14,poison (april 2014 incident),4/3/14,talek
652,neon,6/15/12,NA,,NA,talek
658,gala,9/4/13,4/10/14,humans (poison - april 2014),4/12/14,talek
659,brgr,5/28/13,NA,,NA,talek
660,gsmk,5/24/13,8/17/13,,NA,talek
664,fxtr,5/8/13,5/9/16,,NA,talek
665,bata,6/2/13,12/20/13,,NA,talek
676,lust,3/14/13,NA,,NA,talek
688,xena,5/5/13,11/3/14,,NA,talek
690,bnt,5/7/13,NA,,NA,talek
837,zion,6/18/12,5/6/13,,NA,talek
842,hrpy,5/24/12,NA,,NA,talek
1008,pike,5/17/15,NA,,NA,happy.zebra
1156,ring,1/29/15,5/29/17,,NA,happy.zebra
1166,csby,3/10/15,NA,,NA,happy.zebra
1005,zoey,6/22/12,NA,,NA,serena.n
1015,peep,6/30/12,NA,,NA,serena.n
1020,tnsl,6/19/12,6/12/14,,NA,serena.n
1022,wafl,7/2/12,NA,,NA,serena.n
1036,ema,7/7/12,3/13/16,,NA,serena.n
1048,digs,6/21/13,3/31/15,,8/3/15,serena.n
1088,shrm,2/8/13,9/24/16,,10/16/16,serena.n
1095,hndy,6/29/12,NA,,NA,serena.n
1096,hucn,7/2/14,11/6/12,,NA,serena.n
